id,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,PPG,RPG,APG
121,Maya Caldwell,ATL,26.0,15.0,9.0,6.0,173.0,38.0,15.0,51.0,29.4,6.0,25.0,24.0,2.0,4.0,50.0,8.0,17.0,25.0,17.0,13.0,8.0,3.0,19.0,108.0,0.0,0.0,-17.0,2.5,1.7,1.1
86,Emma Cannon,LAS,36.0,15.0,4.0,11.0,168.0,79.0,28.0,49.0,57.1,12.0,26.0,46.2,11.0,17.0,64.7,10.0,22.0,32.0,7.0,10.0,7.0,1.0,32.0,146.0,0.0,0.0,-5.0,5.3,2.1,0.5
131,Lindsay Allen,CON,30.0,11.0,0.0,11.0,167.0,25.0,10.0,29.0,34.5,1.0,7.0,14.3,4.0,5.0,80.0,0.0,7.0,7.0,25.0,11.0,2.0,3.0,17.0,68.0,0.0,0.0,-95.0,2.3,0.6,2.3
114,Lucy Olsen,WAS,22.0,15.0,8.0,7.0,162.0,44.0,16.0,44.0,36.4,8.0,21.0,38.1,4.0,5.0,80.0,3.0,15.0,18.0,13.0,6.0,2.0,1.0,15.0,89.0,0.0,0.0,-15.0,2.9,1.2,0.9
85,Dominique Malonga,SEA,19.0,17.0,10.0,7.0,161.0,80.0,36.0,73.0,49.3,0.0,7.0,0.0,8.0,11.0,72.7,10.0,31.0,41.0,13.0,16.0,4.0,3.0,23.0,148.0,0.0,0.0,-47.0,4.7,2.4,0.8
96,Damiris Dantas,IND,32.0,13.0,7.0,6.0,160.0,65.0,21.0,54.0,38.9,10.0,29.0,34.5,13.0,15.0,86.7,10.0,26.0,36.0,7.0,9.0,2.0,3.0,26.0,128.0,0.0,0.0,-1.0,5.0,2.8,0.5
129,Shatori Walker-Kimbrough,ATL,30.0,17.0,11.0,6.0,160.0,29.0,11.0,31.0,35.5,3.0,14.0,21.4,4.0,7.0,57.1,1.0,13.0,14.0,10.0,7.0,4.0,6.0,13.0,76.0,0.0,0.0,19.0,1.7,0.8,0.6
120,Emily Engstler,WAS,25.0,14.0,6.0,8.0,154.0,39.0,15.0,34.0,44.1,4.0,15.0,26.7,5.0,10.0,50.0,16.0,35.0,51.0,20.0,14.0,7.0,8.0,19.0,144.0,0.0,0.0,8.0,2.8,3.6,1.4
110,Luisa Geiselșder,DAL,25.0,7.0,1.0,6.0,151.0,47.0,21.0,35.0,60.0,5.0,14.0,35.7,0.0,1.0,0.0,6.0,20.0,26.0,11.0,3.0,6.0,7.0,14.0,115.0,1.0,0.0,-34.0,6.7,3.7,1.6
95,JJ Quinerly,DAL,22.0,16.0,5.0,11.0,146.0,66.0,23.0,51.0,45.1,4.0,9.0,44.4,16.0,17.0,94.1,5.0,14.0,19.0,21.0,16.0,6.0,1.0,26.0,124.0,0.0,0.0,-17.0,4.1,1.2,1.3
135,Julie Allemand,LAS,28.0,8.0,2.0,6.0,144.0,22.0,7.0,20.0,35.0,6.0,18.0,33.3,2.0,2.0,100.0,5.0,16.0,21.0,22.0,14.0,6.0,0.0,12.0,83.0,0.0,0.0,-10.0,2.8,2.6,2.8
132,Mercedes Russell,LAS,29.0,17.0,5.0,12.0,139.0,25.0,8.0,21.0,38.1,0.0,0.0,0.0,9.0,10.0,90.0,9.0,14.0,23.0,10.0,7.0,5.0,4.0,12.0,76.0,0.0,0.0,-33.0,1.5,1.4,0.6
128,Shey Peddy,LAS,36.0,6.0,1.0,5.0,138.0,30.0,10.0,24.0,41.7,5.0,13.0,38.5,5.0,6.0,83.3,6.0,12.0,18.0,16.0,4.0,2.0,0.0,13.0,73.0,0.0,0.0,-18.0,5.0,3.0,2.7
109,Isabelle Harrison,NYL,31.0,15.0,10.0,5.0,135.0,47.0,21.0,44.0,47.7,1.0,5.0,20.0,4.0,6.0,66.7,10.0,31.0,41.0,10.0,9.0,6.0,0.0,18.0,111.0,0.0,0.0,4.0,3.1,2.7,0.7
122,Jaelyn Brown,CON,26.0,10.0,1.0,9.0,131.0,37.0,14.0,37.0,37.8,8.0,18.0,44.4,1.0,2.0,50.0,4.0,8.0,12.0,1.0,5.0,5.0,2.0,17.0,72.0,0.0,0.0,-54.0,3.7,1.2,0.1
103,Aari McDonald,IND,26.0,5.0,3.0,2.0,130.0,60.0,18.0,38.0,47.4,7.0,21.0,33.3,17.0,25.0,68.0,1.0,7.0,8.0,16.0,5.0,8.0,1.0,13.0,109.0,0.0,0.0,14.0,12.0,1.6,3.2
104,Laeticia Amihere,GSV,23.0,7.0,5.0,2.0,128.0,60.0,22.0,41.0,53.7,0.0,4.0,0.0,16.0,23.0,69.6,13.0,31.0,44.0,10.0,14.0,4.0,8.0,15.0,138.0,1.0,0.0,10.0,8.6,6.3,1.4
112,Teaira McCowan,DAL,28.0,9.0,1.0,8.0,127.0,46.0,20.0,36.0,55.6,0.0,0.0,0.0,6.0,8.0,75.0,19.0,24.0,43.0,6.0,9.0,3.0,6.0,14.0,113.0,0.0,0.0,6.0,5.1,4.8,0.7
119,Murjanatu Musa,PHX,25.0,12.0,9.0,3.0,122.0,40.0,16.0,35.0,45.7,1.0,2.0,50.0,7.0,11.0,63.6,18.0,13.0,31.0,7.0,7.0,4.0,2.0,17.0,91.0,0.0,0.0,-48.0,3.3,2.6,0.6
123,Liatu King,LAS,23.0,12.0,4.0,8.0,120.0,36.0,12.0,24.0,50.0,1.0,6.0,16.7,11.0,15.0,73.3,10.0,15.0,25.0,4.0,11.0,2.0,0.0,12.0,70.0,0.0,0.0,-3.0,3.0,2.1,0.3
94,Kahleah Copper,PHX,30.0,5.0,4.0,1.0,118.0,67.0,21.0,56.0,37.5,9.0,22.0,40.9,16.0,18.0,88.9,3.0,13.0,16.0,10.0,13.0,8.0,1.0,13.0,120.0,0.0,0.0,35.0,13.4,3.2,2.0
118,Diamond Miller,MIN,24.0,13.0,12.0,1.0,110.0,40.0,12.0,26.0,46.2,4.0,8.0,50.0,12.0,15.0,80.0,2.0,8.0,10.0,10.0,10.0,4.0,2.0,22.0,76.0,0.0,0.0,-8.0,3.1,0.8,0.8
136,Natasha Mack,PHX,27.0,7.0,6.0,1.0,109.0,20.0,8.0,19.0,42.1,0.0,2.0,0.0,4.0,7.0,57.1,14.0,19.0,33.0,4.0,6.0,9.0,9.0,15.0,93.0,0.0,0.0,-2.0,2.9,4.7,0.6
130,Kariata Diaby,CON,30.0,13.0,1.0,12.0,103.0,25.0,7.0,14.0,50.0,0.0,0.0,0.0,11.0,14.0,78.6,3.0,10.0,13.0,5.0,12.0,6.0,1.0,19.0,57.0,0.0,0.0,-31.0,1.9,1.0,0.4
145,Sevgi Uzun,PHX,27.0,7.0,5.0,2.0,102.0,11.0,3.0,14.0,21.4,1.0,8.0,12.5,4.0,6.0,66.7,0.0,6.0,6.0,14.0,10.0,4.0,3.0,9.0,46.0,0.0,0.0,-12.0,1.6,0.9,2.0
141,Elizabeth Kitley,LVA,23.0,12.0,5.0,7.0,98.0,15.0,7.0,23.0,30.4,0.0,1.0,0.0,1.0,2.0,50.0,4.0,13.0,17.0,1.0,7.0,4.0,6.0,18.0,53.0,0.0,0.0,-52.0,1.2,1.4,0.1
117,Cecilia Zandalasini,GSV,29.0,4.0,1.0,3.0,92.0,40.0,13.0,28.0,46.4,8.0,17.0,47.1,6.0,7.0,85.7,1.0,8.0,9.0,6.0,5.0,6.0,1.0,12.0,77.0,0.0,0.0,-29.0,10.0,2.2,1.5
137,Jaylyn Sherrod,NYL,23.0,13.0,8.0,5.0,89.0,19.0,5.0,19.0,26.3,2.0,10.0,20.0,7.0,9.0,77.8,2.0,9.0,11.0,8.0,9.0,9.0,0.0,15.0,58.0,0.0,0.0,-22.0,1.5,0.8,0.6
127,Kierstan Bell,LVA,25.0,11.0,4.0,7.0,89.0,32.0,11.0,33.0,33.3,8.0,23.0,34.8,2.0,2.0,100.0,3.0,14.0,17.0,3.0,4.0,3.0,3.0,2.0,72.0,0.0,0.0,-33.0,2.9,1.5,0.3
142,Lexie Brown,SEA,30.0,11.0,7.0,4.0,86.0,12.0,2.0,15.0,13.3,2.0,14.0,14.3,6.0,8.0,75.0,0.0,6.0,6.0,5.0,2.0,4.0,0.0,10.0,33.0,0.0,0.0,-8.0,1.1,0.5,0.5
134,Tyasha Harris,DAL,27.0,5.0,1.0,4.0,82.0,23.0,8.0,18.0,44.4,5.0,11.0,45.5,2.0,2.0,100.0,1.0,4.0,5.0,13.0,3.0,2.0,2.0,5.0,54.0,0.0,0.0,15.0,4.6,1.0,2.6
133,Alissa Pili,MIN,24.0,12.0,11.0,1.0,78.0,24.0,9.0,21.0,42.9,3.0,10.0,30.0,3.0,4.0,75.0,4.0,13.0,17.0,3.0,7.0,2.0,0.0,11.0,51.0,0.0,0.0,5.0,2.0,1.4,0.2
140,Kaitlyn Chen,GSV,23.0,4.0,3.0,1.0,77.0,17.0,6.0,10.0,60.0,1.0,2.0,50.0,4.0,6.0,66.7,2.0,7.0,9.0,6.0,4.0,1.0,0.0,3.0,35.0,0.0,0.0,24.0,4.2,2.2,1.5
125,Maria Kliundikova,MIN,26.0,7.0,6.0,1.0,75.0,35.0,14.0,24.0,58.3,2.0,6.0,33.3,5.0,8.0,62.5,9.0,13.0,22.0,4.0,6.0,6.0,7.0,10.0,89.0,0.0,0.0,35.0,5.0,3.1,0.6
