award,is_album,is_song,is_artist
Contemporary Blues Album,True,False,False
Contemporary Folk Album,True,False,False
Contemporary Jazz Album,True,False,False
Contemporary R&B Album,True,False,False
Contemporary R&B Gospel Album,True,False,False
Contemporary World Music Album,True,False,False
Country Album,True,False,False
Country Collaboration With Vocal,False,False,False
Country Instrumental Performance,False,False,False
Country Performance By A Duo Or Group With Vocals,False,False,False
Country Song,False,True,False
Dance Recording,False,False,False
Electronic/Dance Album,True,False,False
"Engineered Album, Classical",True,False,False
"Engineered Album, Non-Classical",True,False,False
Female Country Vocal Performance,False,False,False
Female Pop Vocal Performance,False,False,False
Female R&B Vocal Performance,False,False,False
Gospel Performance,False,False,False
Gospel Song,False,True,False
Hard Rock Performance,False,False,False
Hawaiian Music Album,True,False,False
Historical Album,True,False,False
Improvised Jazz Solo,False,False,False
Instrumental Arrangement,False,False,False
Instrumental Arrangement With Vocalist(s),False,False,False
Instrumental Composition,False,False,False
Instrumental Soloist Performance (without Orchestr,False,False,False
Instrumental Soloist(s) Performance (with Orchestr,False,False,False
"Jazz Instrumental Album, Individual or Group",True,False,False
Jazz Vocal Album,True,False,False
Large Jazz Ensemble Album,True,False,False
Latin Jazz Album,True,False,False
Latin Pop Album,True,False,False
"Latin Rock, Alternative Or Urban Album",True,False,False
Male Country Vocal Performance,False,False,False
Male Pop Vocal Performance,False,False,False
Male R&B Vocal Performance,False,False,False
Metal Performance,False,False,False
Music Video/Long Form,False,False,False
Music Video/Short Form,False,False,False
Musical Album For Children,True,False,False
Musical Show Album,True,False,False
Native American Music Album,True,False,False
New Age Album,True,False,False
Norteño Album,True,False,False
Opera Recording,False,False,False
Orchestral Performance,False,False,False
Pop Collaboration With Vocals,False,False,False
Pop Instrumental Album,True,False,False
Pop Instrumental Performance,False,False,False
Pop Performance By A Duo Or Group With Vocals,False,False,False
Pop Vocal Album,True,False,False
Pop/Contemporary Gospel Album,True,False,False
R&B Album,True,False,False
R&B Performance By A Duo Or Group With Vocals,False,False,False
R&B Song,False,True,False
Rap Album,True,False,False
Rap Duo/Group Performance,False,False,False
Rap Solo Performance,False,False,False
Rap Song,False,True,False
Rap/Sung Collaboration,False,False,False
Recording Package,False,False,False
Reggae Album,True,False,False
Rock Album,True,False,False
Rock Instrumental Performance,False,False,False
Rock Or Rap Gospel Album,True,False,False
Rock Performance By A Duo Or Group With Vocals,False,False,False
Rock Song,False,True,False
Score Soundtrack Album,True,False,False
Small Ensemble Performance,False,False,False
Solo Rock Vocal Performance,False,False,False
Song MP/TV/OVM,False,True,False
"Southern, Country, Or Bluegrass Gospel Album",True,False,False
Spoken Word Album,True,False,False
Spoken Word Album For Children,True,False,False
Surround Sound Album,True,False,False
Tejano Album,True,False,False
Traditional Blues Album,True,False,False
Traditional Folk Album,True,False,False
Traditional Gospel Album,True,False,False
Traditional Pop Vocal Album,True,False,False
Traditional R&B Vocal Performance,False,False,False
Traditional World Music Album,True,False,False
Tropical Latin Album,True,False,False
Urban/Alternative Performance,False,False,False
Zydeco Or Cajun Music album,True,False,False
Banda Or Norteño Album,True,False,False
Blues Album,True,False,False
Children's Album,True,False,False
Classical Vocal Solo,False,False,False
Contemporary Christian Music Album,True,False,False
Contemporary Christian Music Song,False,True,False
Contemporary Classical Composition,False,False,False
Country Duo/Group Performance,False,False,False
Country Solo Performance,False,False,False
Dance/Electronica Album,True,False,False
Folk Album,True,False,False
Gospel Album,True,False,False
Gospel/Contemporary Christian Music Performance,False,False,False
Hard Rock/Metal Performance,False,False,False
Instrumental Solo,False,False,False
Jazz Instrumental Album,True,False,False
"Latin Pop, Rock, Or Urban Album",True,False,False
Musical Theater Album,True,False,False
Pop Duo/Group Performance,False,False,False
Pop Solo Performance,False,False,False
R&B Performance,False,False,False
Rap Performance,False,False,False
Regional Mexican Or Tejano Album,True,False,False
Regional Roots Music Album,True,False,False
Rock Performance,False,False,False
Song Written For Visual Media,False,True,False
Traditional R&B Performance,False,False,False
World Music Album,True,False,False
Best Blues Album,True,False,False
Best Chamber Music/Small Ensemble Performance,False,False,False
Best Children's Album,True,False,False
Best Classical Compendium,False,False,False
Best Classical Instrumental Solo,False,False,False
Best Classical Vocal Solo,False,False,False
Best Compilation Soundtrack For Visual Media,False,False,False
Best Contemporary Christian Music Album,True,False,False
Best Contemporary Christian Music Song,False,True,False
Best Country Duo/Group Performance,False,False,False
Best Country Solo Performance,False,False,False
Best Dance/Electronica Album,True,False,False
Best Folk Album,True,False,False
Best Gospel Album,True,False,False
Best Gospel/Contemporary Christian Music Performance,False,False,False
Best Hard Rock/Metal Performance,False,False,False
Best Jazz Instrumental Album,True,False,False
"Best Latin Rock, Urban or Alternative Album",True,False,False
Best Musical Theater Album,True,False,False
Best Pop Duo/Group Performance,False,False,False
Best Pop Solo Performance,False,False,False
Best R&B Performance,False,False,False
Best Regional Mexican Music Album (Including Tejano),True,False,False
Best Regional Roots Music Album,True,False,False
Best Rock Performance,False,False,False
Best Score Soundtrack For Visual Media,False,False,False
Best Song Written For Visual Media,False,True,False
"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",True,False,False
Best Traditional R&B Performance,False,False,False
Best Urban Contemporary Album,True,False,False
Best American Roots Song,False,True,False
Best Music Film,False,False,False
Best Music Video,False,False,False
Best American Roots Performance,False,False,False
"Best Arrangement, Instrumental or A Cappella",False,False,False
"Best Arrangement, Instruments and Vocals",False,False,False
Best Classical Solo Vocal Album,True,False,False
Best Contemporary Christian Music Performance/Song,False,True,False
Best Contemporary Instrumental Album,True,False,False
Best Dance/Electronic Album,True,False,False
Best Gospel Performance/Song,False,True,False
Best Roots Gospel Album,True,False,False
Best Remixed Recording,False,False,False
Best Rap/Sung Performance,False,False,False
Best Immersive Audio Album,True,False,False
Best Children's Music Album,True,False,False
Best Global Music Album,True,False,False
Best Latin Pop or Urban Album,True,False,False
Best Latin Rock or Alternative Album,True,False,False
Best Melodic Rap Performance,False,False,False
Best Progressive R&B Album,True,False,False
Best Dance/Electronic Music Album,True,False,False
Best Dance/Electronic Recording,False,False,False
Best Global Music Performance,False,False,False
Best Música Urbana Album,True,False,False
Best Americana Performance,False,False,False
"Best Audio Book, Narration, and Storytelling Recording",False,False,False
"Best New Age, Ambient, or Chant Album",True,False,False
Best Score Soundtrack For Visual Media (Includes Film And Television),False,False,False
Best Score Soundtrack for Video Games and Other Interactive Media,False,False,False
Best Spoken Word Poetry Album,True,False,False
"Songwriter of the Year, Non-Classical",False,True,False
Best African Music Performance,False,False,False
Best Alternative Jazz Album,True,False,False
Best Jazz Performance,False,False,False
Best Música Mexicana Album (Including Tejano),True,False,False
Best Pop Dance Recording,False,False,False
Best Dance Pop Recording,False,False,False
