award,is_album,is_song,is_artist
Best New Country & Western Artist Of 1964,False,False,True
Best Original Score Written For A Motion Picture Or Television Show,False,False,False
Best Performance - Instrumental Soloist Or Soloists (With Orchestra),False,False,False
Best Performance - Instrumental Soloist Or Soloists (Without Orchestra),False,False,False
Best Performance - Orchestra,False,False,False
Best Vocal Soloist Performance (With Or Without Orchestra),False,False,False
Album Of The Year -- Classical,True,False,False
Best Album Cover - Photography,True,False,False
Best Arrangement Accompanying A Vocalist Or Instrumentalist,False,False,False
Best Classical Chamber Music Performance - Instrumental Or Vocal,False,False,False
Best Classical Choral Performance (Other Than Opera),False,False,False
Best Classical Contemporary Composition,False,False,False
Best Classical Performance - Instrumental Soloist Or Soloists (Without Orchestra),False,False,False
Best Classical Vocal Soloist Performance,False,False,False
Best Contemporary (R&R) Single,False,False,False
Best Engineered Recording - Non-Classical,False,False,False
"Best Engineered Recording, Classical",False,False,False
"Best Instrumental Performance, Non-Jazz",False,False,False
Best New Artist,False,False,True
Best New Country & Western Artist,False,False,True
Best Spoken Word Or Drama Recording,False,False,False
"Best Album Cover, Photography",True,False,False
Best Chamber Music Performance - Instrumental Or Vocal,False,False,False
Best Classical Choral Performance,False,False,False
Best Classical Performance - Instrumental Soloist or Soloists (With Or Without Orchestra),False,False,False
Best Classical Vocal Soloist Performance (With Or Without Orchestra),False,False,False
Best Contemporary (R&R) Recording,False,False,False
"Best Country & Western Vocal Performance, Male",False,False,False
Best Engineered Recording - Non Classical,False,False,False
Best Instrumental Jazz Performance - Group Or Soloist With Group,False,False,False
Best Instrumental Performance (Other Than Jazz),False,False,False
"Best Rhythm & Blues Group Performance, Vocal Or Instrumental",False,False,False
"Best Rhythm & Blues Solo Vocal Performance, Male Or Female",False,False,False
Best Sacred Recording (Musical),False,False,False
"Best Spoken Word, Documentary Or Drama Recording",False,False,False
"Album Of The Year, Classical",True,False,False
Best Arrangement Accompanying Vocalist(s) Or Instrumentalist(s),False,False,False
Best Chamber Music Performance,False,False,False
Best Classical Performance - Instrumental Soloist Or Soloists (With Or Without Orchestra),False,False,False
Best Comedy Recording,False,False,False
Best Contemporary Single,False,False,False
"Best Country & Western Performance Duet, Trio Or Group (Vocal Or Instrumental)_",False,False,False
"Best Country & Western Solo Vocal Performance, Female",False,False,False
"Best Country & Western Solo Vocal Performance, Male",False,False,False
Best Folk Performance,False,False,False
Best Gospel Performance,False,False,False
"Best Instrumental Jazz Performance, Small Group Or Soloist With Small Group",False,False,False
Best Instrumental Performance,False,False,False
Best Original Score Written For A Motion Picture Or A Television Show,False,False,False
"Best Rhythm & Blues Solo Vocal Performance, Female",False,False,False
"Best Rhythm & Blues Solo Vocal Performance, Male",False,False,False
Best Sacred Performance,False,False,False
Best Arrangement Accompanying Vocalist(s),False,False,False
"Best Contemporary-Pop Vocal Performance, Female",False,False,False
"Best Country Performance, Duo Or Group - Vocal Or Instrumental",False,False,False
Best Country Song,False,True,False
"Best Country Vocal Performance, Female",False,False,False
"Best Country Vocal Performance, Male",False,False,False
Best Engineered Recording (Non-Classical),False,False,False
Best New Artist Of The Year,False,False,True
Best Original Score Written For A Motion Picture Or A Television Special,False,False,False
Best Performance - Instrumental Soloist Or Soloists (With Or Without Orchestra),False,False,False
"Best Rhythm & Blues Performance By A Duo Or Group, Vocal Or Instrumental",False,False,False
Best Rhythm & Blues Song,False,True,False
"Best Rhythm & Blues Vocal Performance, Female",False,False,False
"Best Rhythm & Blues Vocal Performance, Male",False,False,False
Best Soul Gospel Performance,False,False,False
Best Spoken Word Recording,False,False,False
Best Vocal Soloist Performance,False,False,False
"Best Choral Performance, Classical (Other Than Opera)",False,False,False
"Best Classical Performance, Orchestra",False,False,False
"Best Contemporary Vocal Performance, Female",False,False,False
Best Country Instrumental Performance,False,False,False
Best Country Performance By A Duo Or Group With Vocal,False,False,False
"Best Instrumental Jazz Performance, Large Group Or Soloist With Large Group",False,False,False
Best R&B Instrumental Performance,False,False,False
Best R&B Vocal Performance By A Duo Or Group,False,False,False
