winner,details,url,year,date,location,host,is_person,is_album_or_single
REM,Best International Group,https://www.brits.co.uk/history/the-brits-1995/,1995,1995-02-20,"Alexandra Palace, London",Chris Evans,True,False
Prince,Best International Male,https://www.brits.co.uk/history/the-brits-1995/,1995,1995-02-20,"Alexandra Palace, London",Chris Evans,True,False
Lisa Lobe,Best International Newcomer,https://www.brits.co.uk/history/the-brits-1995/,1995,1995-02-20,"Alexandra Palace, London",Chris Evans,True,False
Pulp Ficton,Best Soundtrack/Cast Recording,https://www.brits.co.uk/history/the-brits-1995/,1995,1995-02-20,"Alexandra Palace, London",Chris Evans,False,False
Elton John,Outstanding Contribution,https://www.brits.co.uk/history/the-brits-1995/,1995,1995-02-20,"Alexandra Palace, London",Chris Evans,True,False
Ed Sheeran,British Breakthrough Act,https://www.brits.co.uk/history/the-brits-2012/,2012,2012-02-21,O2 Arena,James Corden,True,False
Adele,British Female Solo Artist,https://www.brits.co.uk/history/the-brits-2012/,2012,2012-02-21,O2 Arena,James Corden,True,False
Coldplay,British Group,https://www.brits.co.uk/history/the-brits-2012/,2012,2012-02-21,O2 Arena,James Corden,True,False
Ed Sheeran,British Male Solo Artist,https://www.brits.co.uk/history/the-brits-2012/,2012,2012-02-21,O2 Arena,James Corden,True,False
,British Producer,https://www.brits.co.uk/history/the-brits-2012/,2012,2012-02-21,O2 Arena,James Corden,False,False
One Direction,British Single,https://www.brits.co.uk/history/the-brits-2012/,2012,2012-02-21,O2 Arena,James Corden,False,True
Emeli Sandé,Critics Choice,https://www.brits.co.uk/history/the-brits-2012/,2012,2012-02-21,O2 Arena,James Corden,False,False
Lana Del Rey,International Breakthrough Act,https://www.brits.co.uk/history/the-brits-2012/,2012,2012-02-21,O2 Arena,James Corden,True,False
Rihanna,International Female Solo Artist,https://www.brits.co.uk/history/the-brits-2012/,2012,2012-02-21,O2 Arena,James Corden,True,False
Foo Fighters,International Group,https://www.brits.co.uk/history/the-brits-2012/,2012,2012-02-21,O2 Arena,James Corden,True,False
Bruno Mars,International Male Solo Artist,https://www.brits.co.uk/history/the-brits-2012/,2012,2012-02-21,O2 Arena,James Corden,True,False
Adele,MasterCard British Album of the Year,https://www.brits.co.uk/history/the-brits-2012/,2012,2012-02-21,O2 Arena,James Corden,False,True
Blur,Outstanding Contribution to Music,https://www.brits.co.uk/history/the-brits-2012/,2012,2012-02-21,O2 Arena,James Corden,True,False
,Ryan Adams,https://www.brits.co.uk/history/the-brits-2012/,2012,2012-02-21,O2 Arena,James Corden,False,False
,Best British Breakthrough Act,https://www.brits.co.uk/history/the-brits-2004/,2004,2004-02-17,"Earls Court 2, London",Cat Deeley,True,False
Basement Jaxx,Best British Dance Act,https://www.brits.co.uk/history/the-brits-2004/,2004,2004-02-17,"Earls Court 2, London",Cat Deeley,True,False
Dido,Best British Female,https://www.brits.co.uk/history/the-brits-2004/,2004,2004-02-17,"Earls Court 2, London",Cat Deeley,True,False
The Darkness,Best British Group,https://www.brits.co.uk/history/the-brits-2004/,2004,2004-02-17,"Earls Court 2, London",Cat Deeley,True,False
Daniel Bedingfield,Best British Male,https://www.brits.co.uk/history/the-brits-2004/,2004,2004-02-17,"Earls Court 2, London",Cat Deeley,True,False
,Best British Rock Act,https://www.brits.co.uk/history/the-brits-2004/,2004,2004-02-17,"Earls Court 2, London",Cat Deeley,True,False
Dido,Best British Single,https://www.brits.co.uk/history/the-brits-2004/,2004,2004-02-17,"Earls Court 2, London",Cat Deeley,False,True
,Best British Urban Act,https://www.brits.co.uk/history/the-brits-2004/,2004,2004-02-17,"Earls Court 2, London",Cat Deeley,True,False
Justin Timberlake,Best International Album,https://www.brits.co.uk/history/the-brits-2004/,2004,2004-02-17,"Earls Court 2, London",Cat Deeley,False,True
,Best International Breakthrough Act,https://www.brits.co.uk/history/the-brits-2004/,2004,2004-02-17,"Earls Court 2, London",Cat Deeley,True,False
Beyonce,Best International Female,https://www.brits.co.uk/history/the-brits-2004/,2004,2004-02-17,"Earls Court 2, London",Cat Deeley,True,False
The White Stripes,Best International Group,https://www.brits.co.uk/history/the-brits-2004/,2004,2004-02-17,"Earls Court 2, London",Cat Deeley,True,False
Justin Timberlake,Best International Male,https://www.brits.co.uk/history/the-brits-2004/,2004,2004-02-17,"Earls Court 2, London",Cat Deeley,True,False
Busted,Best Pop Act,https://www.brits.co.uk/history/the-brits-2004/,2004,2004-02-17,"Earls Court 2, London",Cat Deeley,True,False
Busted,British Breakthrough Artist,https://www.brits.co.uk/history/the-brits-2004/,2004,2004-02-17,"Earls Court 2, London",Cat Deeley,True,False
The Darkness,British Rock Act,https://www.brits.co.uk/history/the-brits-2004/,2004,2004-02-17,"Earls Court 2, London",Cat Deeley,True,False
Lemar,British Urban Act,https://www.brits.co.uk/history/the-brits-2004/,2004,2004-02-17,"Earls Court 2, London",Cat Deeley,True,False
50 Cent,International Breakthrough Artist,https://www.brits.co.uk/history/the-brits-2004/,2004,2004-02-17,"Earls Court 2, London",Cat Deeley,True,False
The Darkness,MasterCard British Album,https://www.brits.co.uk/history/the-brits-2004/,2004,2004-02-17,"Earls Court 2, London",Cat Deeley,False,True
Duran Duran,Outstanding Contribution,https://www.brits.co.uk/history/the-brits-2004/,2004,2004-02-17,"Earls Court 2, London",Cat Deeley,True,False
,Pop Act,https://www.brits.co.uk/history/the-brits-2004/,2004,2004-02-17,"Earls Court 2, London",Cat Deeley,True,False
Bring Me The Horizon,Alternative/Rock Act,https://www.brits.co.uk/history/the-brits-2024/,2024,2024-02-03,The O2,"Clara Amfo, Roman Kemp, Maya Jama",True,False
RAYE,Artist of the Year,https://www.brits.co.uk/history/the-brits-2024/,2024,2024-02-03,The O2,"Clara Amfo, Roman Kemp, Maya Jama",True,False
RAYE,Best New Artist in association with TRESemme,https://www.brits.co.uk/history/the-brits-2024/,2024,2024-02-03,The O2,"Clara Amfo, Roman Kemp, Maya Jama",True,False
Calvin Harris,Dance Act,https://www.brits.co.uk/history/the-brits-2024/,2024,2024-02-03,The O2,"Clara Amfo, Roman Kemp, Maya Jama",True,False
Kylie Minogue,Global Icon,https://www.brits.co.uk/history/the-brits-2024/,2024,2024-02-03,The O2,"Clara Amfo, Roman Kemp, Maya Jama",False,False
Jungle,Group of the Year,https://www.brits.co.uk/history/the-brits-2024/,2024,2024-02-03,The O2,"Clara Amfo, Roman Kemp, Maya Jama",True,False
CASISDEAD,Hip Hop/Grime/Rap Act,https://www.brits.co.uk/history/the-brits-2024/,2024,2024-02-03,The O2,"Clara Amfo, Roman Kemp, Maya Jama",True,False
SZA,International Artist of the Year,https://www.brits.co.uk/history/the-brits-2024/,2024,2024-02-03,The O2,"Clara Amfo, Roman Kemp, Maya Jama",True,False
boygenius,International Group of the Year,https://www.brits.co.uk/history/the-brits-2024/,2024,2024-02-03,The O2,"Clara Amfo, Roman Kemp, Maya Jama",True,False
Miley Cyrus - Flowers,International Song of the Year,https://www.brits.co.uk/history/the-brits-2024/,2024,2024-02-03,The O2,"Clara Amfo, Roman Kemp, Maya Jama",False,False
RAYE - My 21st Century Blues,Mastercard Album of the Year,https://www.brits.co.uk/history/the-brits-2024/,2024,2024-02-03,The O2,"Clara Amfo, Roman Kemp, Maya Jama",False,True
Dua Lipa,Pop Act,https://www.brits.co.uk/history/the-brits-2024/,2024,2024-02-03,The O2,"Clara Amfo, Roman Kemp, Maya Jama",True,False
Chase & Status,Producer of the Year,https://www.brits.co.uk/history/the-brits-2024/,2024,2024-02-03,The O2,"Clara Amfo, Roman Kemp, Maya Jama",False,False
RAYE,R&B Act,https://www.brits.co.uk/history/the-brits-2024/,2024,2024-02-03,The O2,"Clara Amfo, Roman Kemp, Maya Jama",True,False
The Last Dinner Party,Rising Star,https://www.brits.co.uk/history/the-brits-2024/,2024,2024-02-03,The O2,"Clara Amfo, Roman Kemp, Maya Jama",False,False
RAYE ft. 070 Shake - Escapism.,Song of the Year with Mastercard,https://www.brits.co.uk/history/the-brits-2024/,2024,2024-02-03,The O2,"Clara Amfo, Roman Kemp, Maya Jama",False,False
RAYE,Songwriter of the Year,https://www.brits.co.uk/history/the-brits-2024/,2024,2024-02-03,The O2,"Clara Amfo, Roman Kemp, Maya Jama",False,False
Manic Street Preachers,Best British Album,https://www.brits.co.uk/history/the-brits-1999/,1999,1999-02-16,"London Arena, London",Johnny Vaughan,False,True
Fatboy Slim,Best British Dance Act,https://www.brits.co.uk/history/the-brits-1999/,1999,1999-02-16,"London Arena, London",Johnny Vaughan,True,False
Des'ree,Best British Female,https://www.brits.co.uk/history/the-brits-1999/,1999,1999-02-16,"London Arena, London",Johnny Vaughan,True,False
Manic Street Preachers,Best British Group,https://www.brits.co.uk/history/the-brits-1999/,1999,1999-02-16,"London Arena, London",Johnny Vaughan,True,False
Robbie Williams,Best British Male,https://www.brits.co.uk/history/the-brits-1999/,1999,1999-02-16,"London Arena, London",Johnny Vaughan,True,False
Belle & Sebastian,Best British Newcomer,https://www.brits.co.uk/history/the-brits-1999/,1999,1999-02-16,"London Arena, London",Johnny Vaughan,True,False
Robbie Williams,Best British Single,https://www.brits.co.uk/history/the-brits-1999/,1999,1999-02-16,"London Arena, London",Johnny Vaughan,False,True
Robbie Williams,Best British Video,https://www.brits.co.uk/history/the-brits-1999/,1999,1999-02-16,"London Arena, London",Johnny Vaughan,False,False
Natalie Imbruglia,Best International Female,https://www.brits.co.uk/history/the-brits-1999/,1999,1999-02-16,"London Arena, London",Johnny Vaughan,True,False
Corrs,Best International Group,https://www.brits.co.uk/history/the-brits-1999/,1999,1999-02-16,"London Arena, London",Johnny Vaughan,True,False
Beck,Best International Male,https://www.brits.co.uk/history/the-brits-1999/,1999,1999-02-16,"London Arena, London",Johnny Vaughan,True,False
Natalie Inbruglia,Best International Newcomer,https://www.brits.co.uk/history/the-brits-1999/,1999,1999-02-16,"London Arena, London",Johnny Vaughan,True,False
Titanic,Best Soundtrack/Cast Recording,https://www.brits.co.uk/history/the-brits-1999/,1999,1999-02-16,"London Arena, London",Johnny Vaughan,False,False
,Freddie Mercury,https://www.brits.co.uk/history/the-brits-1999/,1999,1999-02-16,"London Arena, London",Johnny Vaughan,False,False
,MasterCard British Album,https://www.brits.co.uk/history/the-brits-1999/,1999,1999-02-16,"London Arena, London",Johnny Vaughan,False,True
Eurythmics,Outstanding Contribution,https://www.brits.co.uk/history/the-brits-1999/,1999,1999-02-16,"London Arena, London",Johnny Vaughan,True,False
Jubilee 2000,The Freddie Mercury Award,https://www.brits.co.uk/history/the-brits-1999/,1999,1999-02-16,"London Arena, London",Johnny Vaughan,False,False
Mika,British Breakthrough Act,https://www.brits.co.uk/history/the-brits-2008/,2008,2008-09-02,"Earls Court, London",The Osbournes,True,False
Kate Nash,British Female Solo Artist,https://www.brits.co.uk/history/the-brits-2008/,2008,2008-09-02,"Earls Court, London",The Osbournes,True,False
Arctic Monkeys,British Group,https://www.brits.co.uk/history/the-brits-2008/,2008,2008-09-02,"Earls Court, London",The Osbournes,True,False
Take That,British Live Act,https://www.brits.co.uk/history/the-brits-2008/,2008,2008-09-02,"Earls Court, London",The Osbournes,True,False
Mark Ronson,British Male Solo Artist,https://www.brits.co.uk/history/the-brits-2008/,2008,2008-09-02,"Earls Court, London",The Osbournes,True,False
Take That,British Single,https://www.brits.co.uk/history/the-brits-2008/,2008,2008-09-02,"Earls Court, London",The Osbournes,False,True
Adele,Critic's Choice Award,https://www.brits.co.uk/history/the-brits-2008/,2008,2008-09-02,"Earls Court, London",The Osbournes,False,False
Foo Fighters,International Album,https://www.brits.co.uk/history/the-brits-2008/,2008,2008-09-02,"Earls Court, London",The Osbournes,False,True
Kylie Minogue,International Female Solo Artist,https://www.brits.co.uk/history/the-brits-2008/,2008,2008-09-02,"Earls Court, London",The Osbournes,True,False
Foo Fighters,International Group,https://www.brits.co.uk/history/the-brits-2008/,2008,2008-09-02,"Earls Court, London",The Osbournes,True,False
Kanye West,International Male Solo Artist,https://www.brits.co.uk/history/the-brits-2008/,2008,2008-09-02,"Earls Court, London",The Osbournes,True,False
Arctic Monkeys,MasterCard British Album,https://www.brits.co.uk/history/the-brits-2008/,2008,2008-09-02,"Earls Court, London",The Osbournes,False,True
Paul McCartney,Outstanding Contribution,https://www.brits.co.uk/history/the-brits-2008/,2008,2008-09-02,"Earls Court, London",The Osbournes,True,False
,Outstanding Contribution To Music,https://www.brits.co.uk/history/the-brits-2008/,2008,2008-09-02,"Earls Court, London",The Osbournes,True,False
Duffy,British Breakthrough Act,https://www.brits.co.uk/history/the-brits-2009/,2009,2009-02-15,"Earls Court, London","James Corden, Mathew Horne and Kylie Minogue",True,False
Duffy,British Female Solo Artist,https://www.brits.co.uk/history/the-brits-2009/,2009,2009-02-15,"Earls Court, London","James Corden, Mathew Horne and Kylie Minogue",True,False
Elbow,British Group,https://www.brits.co.uk/history/the-brits-2009/,2009,2009-02-15,"Earls Court, London","James Corden, Mathew Horne and Kylie Minogue",True,False
Iron Maiden,British Live Act,https://www.brits.co.uk/history/the-brits-2009/,2009,2009-02-15,"Earls Court, London","James Corden, Mathew Horne and Kylie Minogue",True,False
Paul Weller,British Male Solo Artist,https://www.brits.co.uk/history/the-brits-2009/,2009,2009-02-15,"Earls Court, London","James Corden, Mathew Horne and Kylie Minogue",True,False
Girls Aloud,British Single,https://www.brits.co.uk/history/the-brits-2009/,2009,2009-02-15,"Earls Court, London","James Corden, Mathew Horne and Kylie Minogue",False,True
Florence + The Machine,Critic's Choice Award,https://www.brits.co.uk/history/the-brits-2009/,2009,2009-02-15,"Earls Court, London","James Corden, Mathew Horne and Kylie Minogue",False,False
Kings Of Leon,International Album,https://www.brits.co.uk/history/the-brits-2009/,2009,2009-02-15,"Earls Court, London","James Corden, Mathew Horne and Kylie Minogue",False,True
Katy Perry,International Female Solo Artist,https://www.brits.co.uk/history/the-brits-2009/,2009,2009-02-15,"Earls Court, London","James Corden, Mathew Horne and Kylie Minogue",True,False
Kings Of Leon,International Group,https://www.brits.co.uk/history/the-brits-2009/,2009,2009-02-15,"Earls Court, London","James Corden, Mathew Horne and Kylie Minogue",True,False
Kanye West,International Male Solo Artist,https://www.brits.co.uk/history/the-brits-2009/,2009,2009-02-15,"Earls Court, London","James Corden, Mathew Horne and Kylie Minogue",True,False
Duffy,MasterCard British Album,https://www.brits.co.uk/history/the-brits-2009/,2009,2009-02-15,"Earls Court, London","James Corden, Mathew Horne and Kylie Minogue",False,True
Pet Shop Boys,Outstanding Contribution,https://www.brits.co.uk/history/the-brits-2009/,2009,2009-02-15,"Earls Court, London","James Corden, Mathew Horne and Kylie Minogue",True,False
The Verve,Best British Album,https://www.brits.co.uk/history/the-brits-1998/,1998,1998-09-02,"London Arena, London",Ben Elton,False,True
Prodigy,Best British Dance Act,https://www.brits.co.uk/history/the-brits-1998/,1998,1998-09-02,"London Arena, London",Ben Elton,True,False
Shola Ama,Best British Female,https://www.brits.co.uk/history/the-brits-1998/,1998,1998-09-02,"London Arena, London",Ben Elton,True,False
The Verve,Best British Group,https://www.brits.co.uk/history/the-brits-1998/,1998,1998-09-02,"London Arena, London",Ben Elton,True,False
Finley Quaye,Best British Male,https://www.brits.co.uk/history/the-brits-1998/,1998,1998-09-02,"London Arena, London",Ben Elton,True,False
Stereophonics,Best British Newcomer,https://www.brits.co.uk/history/the-brits-1998/,1998,1998-09-02,"London Arena, London",Ben Elton,True,False
,Best British Producer,https://www.brits.co.uk/history/the-brits-1998/,1998,1998-09-02,"London Arena, London",Ben Elton,False,False
All Saints,Best British Single,https://www.brits.co.uk/history/the-brits-1998/,1998,1998-09-02,"London Arena, London",Ben Elton,False,True
All Saints,Best British Video,https://www.brits.co.uk/history/the-brits-1998/,1998,1998-09-02,"London Arena, London",Ben Elton,False,False
Bjork,Best International Female,https://www.brits.co.uk/history/the-brits-1998/,1998,1998-09-02,"London Arena, London",Ben Elton,True,False
U2,Best International Group,https://www.brits.co.uk/history/the-brits-1998/,1998,1998-09-02,"London Arena, London",Ben Elton,True,False
Jon Bon Jovi,Best International Male,https://www.brits.co.uk/history/the-brits-1998/,1998,1998-09-02,"London Arena, London",Ben Elton,True,False
eels,Best International Newcomer,https://www.brits.co.uk/history/the-brits-1998/,1998,1998-09-02,"London Arena, London",Ben Elton,True,False
,Best Selling British,https://www.brits.co.uk/history/the-brits-1998/,1998,1998-09-02,"London Arena, London",Ben Elton,False,False
Spice Girls,Best Selling British Album Act,https://www.brits.co.uk/history/the-brits-1998/,1998,1998-09-02,"London Arena, London",Ben Elton,True,True
The Full Monty,Best Soundtrack/Cast Recording,https://www.brits.co.uk/history/the-brits-1998/,1998,1998-09-02,"London Arena, London",Ben Elton,False,False
,Freddie Mercury,https://www.brits.co.uk/history/the-brits-1998/,1998,1998-09-02,"London Arena, London",Ben Elton,False,False
,MasterCard British Album,https://www.brits.co.uk/history/the-brits-1998/,1998,1998-09-02,"London Arena, London",Ben Elton,False,True
Fleetwood Mac,Outstanding Contribution,https://www.brits.co.uk/history/the-brits-1998/,1998,1998-09-02,"London Arena, London",Ben Elton,True,False
Elton John,The Freddie Mercury Award,https://www.brits.co.uk/history/the-brits-1998/,1998,1998-09-02,"London Arena, London",Ben Elton,False,False
Sam Fender,Alternative/Rock Act,https://www.brits.co.uk/history/the-brits-2025/,2025,2025-01-03,The O2,Jack Whitehall,True,False
Charli xcx,Artist Of The Year,https://www.brits.co.uk/history/the-brits-2025/,2025,2025-01-03,The O2,Jack Whitehall,True,False
The Last Dinner Party,Best New Artist,https://www.brits.co.uk/history/the-brits-2025/,2025,2025-01-03,The O2,Jack Whitehall,True,False
Charli xcx,Dance Act,https://www.brits.co.uk/history/the-brits-2025/,2025,2025-01-03,The O2,Jack Whitehall,True,False
Ezra Collective,Group Of The Year,https://www.brits.co.uk/history/the-brits-2025/,2025,2025-01-03,The O2,Jack Whitehall,True,False
Stormzy,Hip Hop/Grime/Rap Act,https://www.brits.co.uk/history/the-brits-2025/,2025,2025-01-03,The O2,Jack Whitehall,True,False
Chappell Roan,International Artist Of The Year,https://www.brits.co.uk/history/the-brits-2025/,2025,2025-01-03,The O2,Jack Whitehall,True,False
Fontaines D.C.,International Group Of The Year,https://www.brits.co.uk/history/the-brits-2025/,2025,2025-01-03,The O2,Jack Whitehall,True,False
"Chappell Roan - Good Luck, Babe!",International Song Of The Year,https://www.brits.co.uk/history/the-brits-2025/,2025,2025-01-03,The O2,Jack Whitehall,False,False
Charli xcx - BRAT,Mastercard Album Of The Year,https://www.brits.co.uk/history/the-brits-2025/,2025,2025-01-03,The O2,Jack Whitehall,False,True
JADE,Pop Act,https://www.brits.co.uk/history/the-brits-2025/,2025,2025-01-03,The O2,Jack Whitehall,True,False
RAYE,R&B Act,https://www.brits.co.uk/history/the-brits-2025/,2025,2025-01-03,The O2,Jack Whitehall,True,False
"Charli xcx - Guess, Feat. Billie Eilish",Song Of The Year With Mastercard,https://www.brits.co.uk/history/the-brits-2025/,2025,2025-01-03,The O2,Jack Whitehall,False,False
,British Breakthrough Act,https://www.brits.co.uk/history/the-brits-2005/,2005,2005-09-02,"Earls Court 2, London",Chris Evans,True,False
Keane,British Breakthrough Artist,https://www.brits.co.uk/history/the-brits-2005/,2005,2005-09-02,"Earls Court 2, London",Chris Evans,True,False
Joss Stone,British Female Solo Artist,https://www.brits.co.uk/history/the-brits-2005/,2005,2005-09-02,"Earls Court 2, London",Chris Evans,True,False
Franz Ferdinand,British Group,https://www.brits.co.uk/history/the-brits-2005/,2005,2005-09-02,"Earls Court 2, London",Chris Evans,True,False
Muse,British Live Act,https://www.brits.co.uk/history/the-brits-2005/,2005,2005-09-02,"Earls Court 2, London",Chris Evans,True,False
Mike Skinner,British Male Solo Artist,https://www.brits.co.uk/history/the-brits-2005/,2005,2005-09-02,"Earls Court 2, London",Chris Evans,True,False
McFly,British Pop Act,https://www.brits.co.uk/history/the-brits-2005/,2005,2005-09-02,"Earls Court 2, London",Chris Evans,True,False
Franz Ferdinand,British Rock Act,https://www.brits.co.uk/history/the-brits-2005/,2005,2005-09-02,"Earls Court 2, London",Chris Evans,True,False
Will Young,British Single,https://www.brits.co.uk/history/the-brits-2005/,2005,2005-09-02,"Earls Court 2, London",Chris Evans,False,True
Joss Stone,British Urban Act,https://www.brits.co.uk/history/the-brits-2005/,2005,2005-09-02,"Earls Court 2, London",Chris Evans,True,False
,BRITs 25 - Best Song Award,https://www.brits.co.uk/history/the-brits-2005/,2005,2005-09-02,"Earls Court 2, London",Chris Evans,False,False
Robbie Williams,BRITs 25 Best Song Award,https://www.brits.co.uk/history/the-brits-2005/,2005,2005-09-02,"Earls Court 2, London",Chris Evans,False,False
Scissor Sisters,International Album,https://www.brits.co.uk/history/the-brits-2005/,2005,2005-09-02,"Earls Court 2, London",Chris Evans,False,True
,International Breakthrough Act,https://www.brits.co.uk/history/the-brits-2005/,2005,2005-09-02,"Earls Court 2, London",Chris Evans,True,False
Scissor Sisters,International Breakthrough Artist,https://www.brits.co.uk/history/the-brits-2005/,2005,2005-09-02,"Earls Court 2, London",Chris Evans,True,False
Gwen Stefani,International Female,https://www.brits.co.uk/history/the-brits-2005/,2005,2005-09-02,"Earls Court 2, London",Chris Evans,True,False
,International Female Solo Artist,https://www.brits.co.uk/history/the-brits-2005/,2005,2005-09-02,"Earls Court 2, London",Chris Evans,True,False
Scissor Sisters,International Group,https://www.brits.co.uk/history/the-brits-2005/,2005,2005-09-02,"Earls Court 2, London",Chris Evans,True,False
Eminem,International Male,https://www.brits.co.uk/history/the-brits-2005/,2005,2005-09-02,"Earls Court 2, London",Chris Evans,True,False
,International Male Solo Artist,https://www.brits.co.uk/history/the-brits-2005/,2005,2005-09-02,"Earls Court 2, London",Chris Evans,True,False
Keane,MasterCard British Album,https://www.brits.co.uk/history/the-brits-2005/,2005,2005-09-02,"Earls Court 2, London",Chris Evans,False,True
Bob Geldof,Outstanding Contribution,https://www.brits.co.uk/history/the-brits-2005/,2005,2005-09-02,"Earls Court 2, London",Chris Evans,True,False
,Pop Act,https://www.brits.co.uk/history/the-brits-2005/,2005,2005-09-02,"Earls Court 2, London",Chris Evans,True,False
Ben Howard,British Breakthrough Act,https://www.brits.co.uk/history/the-brits-2013/,2013,2013-02-20,O2 Arena,James Corden,True,False
Emeli Sandé,British Female Solo Artist,https://www.brits.co.uk/history/the-brits-2013/,2013,2013-02-20,O2 Arena,James Corden,True,False
Mumford & Sons,British Group,https://www.brits.co.uk/history/the-brits-2013/,2013,2013-02-20,O2 Arena,James Corden,True,False
Coldplay,British Live Act,https://www.brits.co.uk/history/the-brits-2013/,2013,2013-02-20,O2 Arena,James Corden,True,False
Ben Howard,British Male Solo Artist,https://www.brits.co.uk/history/the-brits-2013/,2013,2013-02-20,O2 Arena,James Corden,True,False
Paul Epworth,British Producer of the Year,https://www.brits.co.uk/history/the-brits-2013/,2013,2013-02-20,O2 Arena,James Corden,False,False
Adele,British Single,https://www.brits.co.uk/history/the-brits-2013/,2013,2013-02-20,O2 Arena,James Corden,False,True
One Direction,BRITs Global Success Award,https://www.brits.co.uk/history/the-brits-2013/,2013,2013-02-20,O2 Arena,James Corden,False,False
Tom Odell,Critics' Choice Award,https://www.brits.co.uk/history/the-brits-2013/,2013,2013-02-20,O2 Arena,James Corden,False,False
Lana Del Rey,International Female Solo Artist,https://www.brits.co.uk/history/the-brits-2013/,2013,2013-02-20,O2 Arena,James Corden,True,False
The Black Keys,International Group,https://www.brits.co.uk/history/the-brits-2013/,2013,2013-02-20,O2 Arena,James Corden,True,False
Frank Ocean,International Male Solo Artist,https://www.brits.co.uk/history/the-brits-2013/,2013,2013-02-20,O2 Arena,James Corden,True,False
Emeli Sandé,Mastercard British Album of the Year,https://www.brits.co.uk/history/the-brits-2013/,2013,2013-02-20,O2 Arena,James Corden,False,True
Stereo MCs,Best British Album,https://www.brits.co.uk/history/the-brits-1994/,1994,1994-02-14,"Alexandra Palace, London",Elton John & RuPaul,False,True
M People,Best British Dance Act,https://www.brits.co.uk/history/the-brits-1994/,1994,1994-02-14,"Alexandra Palace, London",Elton John & RuPaul,True,False
Dina Carroll,Best British Female,https://www.brits.co.uk/history/the-brits-1994/,1994,1994-02-14,"Alexandra Palace, London",Elton John & RuPaul,True,False
Stereo MCs,Best British Group,https://www.brits.co.uk/history/the-brits-1994/,1994,1994-02-14,"Alexandra Palace, London",Elton John & RuPaul,True,False
Sting,Best British Male,https://www.brits.co.uk/history/the-brits-1994/,1994,1994-02-14,"Alexandra Palace, London",Elton John & RuPaul,True,False
Gabrielle,Best British Newcomer,https://www.brits.co.uk/history/the-brits-1994/,1994,1994-02-14,"Alexandra Palace, London",Elton John & RuPaul,True,False
Brian Eno,Best British Producer,https://www.brits.co.uk/history/the-brits-1994/,1994,1994-02-14,"Alexandra Palace, London",Elton John & RuPaul,False,False
Take That,Best British Single,https://www.brits.co.uk/history/the-brits-1994/,1994,1994-02-14,"Alexandra Palace, London",Elton John & RuPaul,False,True
Take That,Best British Video,https://www.brits.co.uk/history/the-brits-1994/,1994,1994-02-14,"Alexandra Palace, London",Elton John & RuPaul,False,False
Bjork,Best International Female,https://www.brits.co.uk/history/the-brits-1994/,1994,1994-02-14,"Alexandra Palace, London",Elton John & RuPaul,True,False
Crowded House,Best International Group,https://www.brits.co.uk/history/the-brits-1994/,1994,1994-02-14,"Alexandra Palace, London",Elton John & RuPaul,True,False
Lenny Kravitz,Best International Male,https://www.brits.co.uk/history/the-brits-1994/,1994,1994-02-14,"Alexandra Palace, London",Elton John & RuPaul,True,False
Bjork,Best International Newcomer,https://www.brits.co.uk/history/the-brits-1994/,1994,1994-02-14,"Alexandra Palace, London",Elton John & RuPaul,True,False
,Best Selling Single of,https://www.brits.co.uk/history/the-brits-1994/,1994,1994-02-14,"Alexandra Palace, London",Elton John & RuPaul,False,True
The Bodyguard,Best Soundtrack/Cast Recording,https://www.brits.co.uk/history/the-brits-1994/,1994,1994-02-14,"Alexandra Palace, London",Elton John & RuPaul,False,False
Van Morrison,Outstanding Contribution,https://www.brits.co.uk/history/the-brits-1994/,1994,1994-02-14,"Alexandra Palace, London",Elton John & RuPaul,True,False
Adam & The Ants,Best British Album,https://www.brits.co.uk/history/the-brits-1982/,1982,1982-04-02,"Grosvenor House Hotel, London",David Jacobs,False,True
Randy Crawford,Best British Female,https://www.brits.co.uk/history/the-brits-1982/,1982,1982-04-02,"Grosvenor House Hotel, London",David Jacobs,True,False
The Police,Best British Group,https://www.brits.co.uk/history/the-brits-1982/,1982,1982-04-02,"Grosvenor House Hotel, London",David Jacobs,True,False
Cliff Richard,Best British Male,https://www.brits.co.uk/history/the-brits-1982/,1982,1982-04-02,"Grosvenor House Hotel, London",David Jacobs,True,False
The Human League,Best British Newcomer,https://www.brits.co.uk/history/the-brits-1982/,1982,1982-04-02,"Grosvenor House Hotel, London",David Jacobs,True,False
Martin Rushent,Best British Producer,https://www.brits.co.uk/history/the-brits-1982/,1982,1982-04-02,"Grosvenor House Hotel, London",David Jacobs,False,False
Soft Cell,Best British Single,https://www.brits.co.uk/history/the-brits-1982/,1982,1982-04-02,"Grosvenor House Hotel, London",David Jacobs,False,True
Simon Rattle,Best Classical Recording,https://www.brits.co.uk/history/the-brits-1982/,1982,1982-04-02,"Grosvenor House Hotel, London",David Jacobs,False,False
John Lennon,Outstanding Contribution,https://www.brits.co.uk/history/the-brits-1982/,1982,1982-04-02,"Grosvenor House Hotel, London",David Jacobs,True,False
,British Breakthrough Act,https://www.brits.co.uk/history/the-brits-2006/,2006,2006-02-14,"Earls Court, London",Chris Evans,True,False
KT Tunstall,British Female Solo Artist,https://www.brits.co.uk/history/the-brits-2006/,2006,2006-02-14,"Earls Court, London",Chris Evans,True,False
