"country","name","age","elected_in",year,competition,result
"Angola","Deolinda Vilela","23","Luanda",2000,Miss World,
"Argentina","Daniela Stucan","19","Buenos Aires",2000,Miss World,
"Aruba","Monique van der Horn","21","Oranjestad",2000,Miss World,
"Australia","Renee Henderson","23","Melbourne",2000,Miss World,
"Austria","Patricia Kaiser","16","Linz",2000,Miss World,
"Bahamas","Latia Bowe","23",,2000,Miss World,
"Bangladesh","Dhaka","21","Sonia Gazi",2000,Miss World,
"Barbados","Leilani McConney","19","Bridgetown",2000,Miss World,
"Belarus","Grodno","21","Sviatlana Kruk",2000,Miss World,
"Belgium","Joke van de Velde","20","Melle",2000,Miss World,
"Bolivia","Jimena Rico","22","Cochabamba",2000,Miss World,
"Bosnia and Herzegovina","Jasmina Mahmutović","19","Bihać",2000,Miss World,
"Botswana","Puna Keleabetswe Serati","21","Mochudi",2000,Miss World,
"Brazil","Francine Eickemberg","18","Camboriú",2000,Miss World,
"British Virgin Islands","Nadia Harrigan Ubinas","23","Tortola",2000,Miss World,
"Bulgaria","Ivanka Peytcheva","19","Pasardzhik",2000,Miss World,
"Canada","Christine Cho","21","Toronto",2000,Miss World,
"Cayman Islands","Jacqueline Bush","25","George Town",2000,Miss World,
"Chile","Isabel Bawlitza","24","Linares",2000,Miss World,SF
"Colombia","Andrea Durán","24","Bogotá",2000,Miss World,SF
"Costa Rica","Cristina de Mezerville","22","Heredia",2000,Miss World,
"Croatia","Andreja Čupor","18","Ozalj",2000,Miss World,
"Curaçao","Jozaine Wall","18","Willemstad",2000,Miss World,
"Cyprus","Ifigenia Papaioannou","19","Limassol",2000,Miss World,
"Czech Republic","Michaela Salačová","18","Moravské Budějovice",2000,Miss World,
"Denmark","Anne Katrin Vrang","23","Copenhagen",2000,Miss World,
"Dominican Republic","Santo Domingo","20","Gilda Jovine",2000,Miss World,
"Ecuador","Ana Dolores Murillo","20","Portoviejo",2000,Miss World,
"England","Michelle Walker","19","Liverpool",2000,Miss World,
"Estonia","Irina Ovtchinnikova","21","Tallinn",2000,Miss World,
"Finland","Salima Peippo","18","Turku",2000,Miss World,
"France","Karine Meier","20","Meurthe-et-Moselle",2000,Miss World,
"French Polynesia","Vanini Bea","19","Papeete",2000,Miss World,
"Germany","Natascha Berg","20","Mannheim",2000,Miss World,
"Ghana","Maame Ewarfaah Hawkson","22","Accra",2000,Miss World,
"Gibraltar","Tessa Sacramento","19","Gibraltar",2000,Miss World,
"Greece","Athanasia Tzoulaki","18","Peloponnese",2000,Miss World,
"Guatemala","Cindy Ramírez","24","Guatemala City",2000,Miss World,
"Holland","Raja Moussaoui","24","Roermond",2000,Miss World,
"Honduras","Verónica Rivera","17","Cortés",2000,Miss World,
"Hong Kong","Margaret Kan","20","Hong Kong",2000,Miss World,
"Hungary","Judit Kuchta","21","Budapest",2000,Miss World,
"Iceland","Elva Dögg Melsteð","21","Reykjavík",2000,Miss World,
"Jharkhand","India","18","Priyanka Chopra",2000,Miss World,W
"Ireland","Yvonne Ellard","21","Tipperary",2000,Miss World,
"Israel","Dana Dantes","19","Tel Aviv",2000,Miss World,
"Italy","Cagliari","18","Giorgia Palmas",2000,Miss World,1RU
"Jamaica","Ayisha Richards","24","Kingston",2000,Miss World,
"Japan","Mariko Sugai","23","Tokyo",2000,Miss World,
"Kazakhstan","Margarita Kravtsova","19","Almaty",2000,Miss World,3RU
"Kenya","Yolanda Masinde","21","Nairobi",2000,Miss World,SF
"Lebanon","Sandra Rizk","18","Beirut",2000,Miss World,
"Lithuania","Martyna Bimbaitė","16","Palanga",2000,Miss World,
"Madagascar","Julianna Todimarina","17","Toamasina",2000,Miss World,
"Malaysia","Tan Sun Wei","24","Kuala Lumpur",2000,Miss World,
"Malta","Katia Grima","19","Valletta",2000,Miss World,
"Mexico","Paulina Flores Arias","20","Culiacán",2000,Miss World,
"Moldova","Mariana Moraru †","16","Chișinău",2000,Miss World,
"Namibia","Mia de Klerk","21","Windhoek",2000,Miss World,
"Nepal","Usha Khadgi","21","Kathmandu",2000,Miss World,
"New Zealand","Katherine Allsopp-Smith","21","Auckland",2000,Miss World,
"Nigeria","Benin City","19","Matilda Kerry",2000,Miss World,
"Northern Ireland","Julie Lee-Ann Martin","20","Belfast",2000,Miss World,
"Norway","Stine Pedersen","21","Oslo",2000,Miss World,
"Panama","Ana Raquel Ochy","22","Panama City",2000,Miss World,
"Paraguay","Patricia Villanueva","17","Asunción",2000,Miss World,
"Peru","Tatiana Angulo","23","Trujillo",2000,Miss World,
"Philippines","Katherine de Guzman","20","San Carlos",2000,Miss World,
"Poland","Justyna Bergmann","18","Warsaw",2000,Miss World,
"Portugal","Gilda Dias Pe-Curto","21","Lisbon",2000,Miss World,
"Puerto Rico","Sarybel Velilla","24","Toa Alta",2000,Miss World,
"Romania","Aleksandra Cosmoiu","20","Bucharest",2000,Miss World,
"Russia","Anna Bodareva","19","Moscow",2000,Miss World,
"Scotland","Michelle Watson","19","Motherwell",2000,Miss World,
"Singapore","Charlyn Ding","19","Singapore",2000,Miss World,
"Slovakia","Janka Horečná","20","Žilina",2000,Miss World,
"Slovenia","Maša Merc","22","Maribor",2000,Miss World,
"South Africa","Heather Joy Hamilton","23","Durban",2000,Miss World,
"South Korea","Jung-sun Shin","20","Seoul",2000,Miss World,
"Spain","Verónica García","20","Madrid",2000,Miss World,
"Sri Lanka","Ganga Gunasekera","25","Colombo",2000,Miss World,
