id,title,logo,url,level,surface,level_logo,start_date,end_date,year,month,city,country,state,tour_code_alpha_2,tour_code_alpha_3,tour_country_code_m49,tour_region_code,alternative_name,tour_region,tour_subregion,tour_fifa,rank,entry_type,wild_card_entry,points_gain,prize_money,draw,custom_title,alt_titles,tour_total_games,tour_total_matches,tour_avg_games,tour_sets_played,tour_avg_sets_played,name,seed,flag,round,win_loss,score,url_profile,retired,walkover,bye,first_set_tiebreak,second_set_tiebreak,third_set_tiebreak,has_tiebreak,number_of_sets,first_set_won,total_games,winner_games,loser_games,win_loss_numeric,code_alpha_2,code_alpha_3,country_code_m49,region_code,region,subregion,fifa,splitted_score
1,China Open,,https://www.wtatennis.com/tournaments/1020/beijing/2017,Premier Mandatory,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2017-09-30,2017-10-08,2017,9,Beijing,ROU,,CN,CHN,156,142,,Asia,East Asia,CHN,2.0,W,True,120.0,71774.0,64M/32Q/32D,China Open,,81,3,27.0,8,2.6666666666666665,Simona Halep,2.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/rou.svg,R16,L,"2-6, 2-6",https://www.wtatennis.com/players/314320/simona-halep,False,False,False,False,False,False,False,2,False,16,4,12,0,RO,ROU,642,150,Europe,Southeastern Europe,ROU,"2,6,None|2,6,None"
2,China Open,,https://www.wtatennis.com/tournaments/1020/beijing/2017,Premier Mandatory,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2017-09-30,2017-10-08,2017,9,Beijing,RUS,,CN,CHN,156,142,,Asia,East Asia,CHN,33.0,W,True,120.0,71774.0,64M/32Q/32D,China Open,,81,3,27.0,8,2.6666666666666665,Ekaterina Makarova,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/rus.svg,R32,W,"6-4, 4-6, 6-1",https://www.wtatennis.com/players/311604/ekaterina-makarova,False,False,False,False,False,False,False,3,True,27,16,11,1,RU,RUS,643,150,Europe,Eastern Europe,RUS,"6,4,None|4,6,None|6,1,None"
3,China Open,,https://www.wtatennis.com/tournaments/1020/beijing/2017,Premier Mandatory,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2017-09-30,2017-10-08,2017,9,Beijing,LAT,,CN,CHN,156,142,,Asia,East Asia,CHN,19.0,W,True,120.0,71774.0,64M/32Q/32D,China Open,,81,3,27.0,8,2.6666666666666665,Anastasija Sevastova,16.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/lat.svg,R64,W,"7-6 (3), 5-7, 7-6 (7)",https://www.wtatennis.com/players/313987/anastasija-sevastova,False,False,False,True,False,True,True,3,True,38,19,19,1,,,,,,,LAT,"7,6,3|5,7,None|7,6,7"
1,US Open,,https://www.wtatennis.com/tournaments/905/us-open/2017,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/gs-tag.svg,2017-08-28,2017-09-10,2017,8,New York,LAT,NY,US,USA,840,019,,America,Northern America,USA,17.0,W,True,240.0,253625.0,128M/128Q/64D,2017 Us Open Tennis Championships,,109,4,27.25,11,2.75,Anastasija Sevastova,16.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/lat.svg,R16,L,"7-5, 4-6, 2-6",https://www.wtatennis.com/players/313987/anastasija-sevastova,False,False,False,False,False,False,False,3,True,30,13,17,0,,,,,,,LAT,"7,5,None|4,6,None|2,6,None"
2,US Open,,https://www.wtatennis.com/tournaments/905/us-open/2017,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/gs-tag.svg,2017-08-28,2017-09-10,2017,8,New York,USA,NY,US,USA,840,019,United States of America|America|USA|US,America,Northern America,USA,139.0,W,True,240.0,253625.0,128M/128Q/64D,2017 Us Open Tennis Championships,,109,4,27.25,11,2.75,Sofia Kenin,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/usa.svg,R32,W,"7-5, 6-2",https://www.wtatennis.com/players/320942/sofia-kenin,False,False,False,False,False,False,False,2,True,20,13,7,1,US,USA,840,019,America,Northern America,USA,"7,5,None|6,2,None"
3,US Open,,https://www.wtatennis.com/tournaments/905/us-open/2017,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/gs-tag.svg,2017-08-28,2017-09-10,2017,8,New York,HUN,NY,US,USA,840,019,,America,Northern America,USA,59.0,W,True,240.0,253625.0,128M/128Q/64D,2017 Us Open Tennis Championships,,109,4,27.25,11,2.75,Timea Babos,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/hun.svg,R64,W,"6-7 (4), 6-4, 6-1",https://www.wtatennis.com/players/317070/timea-babos,False,False,False,True,False,False,True,3,False,30,18,12,1,HU,HUN,348,150,Europe,Central Europe,HUN,"6,7,4|6,4,None|6,1,None"
4,US Open,,https://www.wtatennis.com/tournaments/905/us-open/2017,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/gs-tag.svg,2017-08-28,2017-09-10,2017,8,New York,ROU,NY,US,USA,840,019,,America,Northern America,USA,2.0,W,True,240.0,253625.0,128M/128Q/64D,2017 Us Open Tennis Championships,,109,4,27.25,11,2.75,Simona Halep,2.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/rou.svg,R128,W,"6-4, 4-6, 6-3",https://www.wtatennis.com/players/314320/simona-halep,False,False,False,False,False,False,False,3,True,29,16,13,1,RO,ROU,642,150,Europe,Southeastern Europe,ROU,"6,4,None|4,6,None|6,3,None"
1,Bank Of The West Classic,,https://www.wtatennis.com/tournaments/703/san-jose/2017,Premier,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/500k-tag.svg,2017-07-31,2017-08-06,2017,7,Stanford,UKR,CA,US,USA,840,019,,America,Northern America,USA,32.0,W,True,55.0,11025.0,32M/16Q/16D,Bank Of The West Classic,,23,1,23.0,3,3.0,Lesia Tsurenko,7.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/ukr.svg,R16,L,Walkover,https://www.wtatennis.com/players/315295/lesia-tsurenko,False,True,False,False,False,False,False,0,False,0,0,0,0,UA,UKR,804,150,Europe,Eastern Europe,UKR,
2,Bank Of The West Classic,,https://www.wtatennis.com/tournaments/703/san-jose/2017,Premier,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/500k-tag.svg,2017-07-31,2017-08-06,2017,7,Stanford,USA,CA,US,USA,840,019,United States of America|America|USA|US,America,Northern America,USA,80.0,W,True,55.0,11025.0,32M/16Q/16D,Bank Of The West Classic,,23,1,23.0,3,3.0,Jennifer Brady,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/usa.svg,R32,W,"6-1, 4-6, 6-0",https://www.wtatennis.com/players/318358/jennifer-brady,False,False,False,False,False,False,False,3,True,23,16,7,1,US,USA,840,019,America,Northern America,USA,"6,1,None|4,6,None|6,0,None"
1,Internazionali Bnl D'Italia,,https://www.wtatennis.com/tournaments/709/rome/2017,Premier 5,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2017-05-15,2017-05-21,2017,5,Rome,CRO,,IT,ITA,380,150,,Europe,Southern Europe,ITA,22.0,W,True,60.0,16740.0,64M/32Q/32D,Internazionali Bnl D'Italia,,40,2,20.0,5,2.5,Mirjana Lucic-Baroni,16.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/cro.svg,R32,L,"4-6, 6-3, 2-1",https://www.wtatennis.com/players/120323/mirjana-lucic-baroni,True,False,False,False,False,False,False,3,False,22,12,10,0,HR,HRV,191,150,Europe,Southeastern Europe,CRO,"4,6,None|6,3,None|2,1,None|Ret"
2,Internazionali Bnl D'Italia,,https://www.wtatennis.com/tournaments/709/rome/2017,Premier 5,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2017-05-15,2017-05-21,2017,5,Rome,USA,,IT,ITA,380,150,United States of America|America|USA|US,Europe,Southern Europe,ITA,58.0,W,True,60.0,16740.0,64M/32Q/32D,Internazionali Bnl D'Italia,,40,2,20.0,5,2.5,Christina Mchale,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/usa.svg,R64,W,"6-4, 6-2",https://www.wtatennis.com/players/314917/christina-mchale,False,False,False,False,False,False,False,2,True,18,12,6,1,US,USA,840,019,America,Northern America,USA,"6,4,None|6,2,None"
1,Mutua Madrid Open,,https://www.wtatennis.com/tournaments/1038/madrid/2017,Premier Mandatory,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2017-05-06,2017-05-13,2017,5,Madrid,CAN,,ES,ESP,724,150,,Europe,Southern Europe,ESP,60.0,W,True,65.0,35097.0,64M/32Q/32D,Mutua Madrid Open,,56,2,28.0,6,3.0,Eugenie Bouchard,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/can.svg,R32,L,"5-7, 6-2, 4-6",https://www.wtatennis.com/players/316161/eugenie-bouchard,False,False,False,False,False,False,False,3,False,30,15,15,0,CA,CAN,124,019,America,Northern America,CAN,"5,7,None|6,2,None|4,6,None"
2,Mutua Madrid Open,,https://www.wtatennis.com/tournaments/1038/madrid/2017,Premier Mandatory,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2017-05-06,2017-05-13,2017,5,Madrid,CRO,,ES,ESP,724,150,,Europe,Southern Europe,ESP,21.0,W,True,65.0,35097.0,64M/32Q/32D,Mutua Madrid Open,,56,2,28.0,6,3.0,Mirjana Lucic-Baroni,17.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/cro.svg,R64,W,"4-6, 6-4, 6-0",https://www.wtatennis.com/players/120323/mirjana-lucic-baroni,False,False,False,False,False,False,False,3,False,26,16,10,1,HR,HRV,191,150,Europe,Southeastern Europe,CRO,"4,6,None|6,4,None|6,0,None"
1,Porsche Tennis Grand Prix,,https://www.wtatennis.com/tournaments/1051/stuttgart/2017,Premier,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/500k-tag.svg,2017-04-24,2017-04-30,2017,4,Stuttgart,FRA,,DE,DEU,276,150,,Europe,Central Europe,GER,19.0,W,True,185.0,37865.0,32M/32Q/16D,Porsche Tennis Grand Prix,,90,4,22.5,9,2.25,Kristina Mladenovic,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/fra.svg,SF,L,"6-3, 5-7, 4-6",https://www.wtatennis.com/players/315616/kristina-mladenovic,False,False,False,False,False,False,False,3,True,31,15,16,0,FR,FRA,250,150,Europe,Western Europe,FRA,"6,3,None|5,7,None|4,6,None"
2,Porsche Tennis Grand Prix,,https://www.wtatennis.com/tournaments/1051/stuttgart/2017,Premier,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/500k-tag.svg,2017-04-24,2017-04-30,2017,4,Stuttgart,EST,,DE,DEU,276,150,,Europe,Central Europe,GER,73.0,W,True,185.0,37865.0,32M/32Q/16D,Porsche Tennis Grand Prix,,90,4,22.5,9,2.25,Anett Kontaveit,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/est.svg,QF,W,"6-3, 6-4",https://www.wtatennis.com/players/318425/anett-kontaveit,False,False,False,False,False,False,False,2,True,19,12,7,1,EE,EST,233,150,Europe,Northern Europe,EST,"6,3,None|6,4,None"
3,Porsche Tennis Grand Prix,,https://www.wtatennis.com/tournaments/1051/stuttgart/2017,Premier,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/500k-tag.svg,2017-04-24,2017-04-30,2017,4,Stuttgart,RUS,,DE,DEU,276,150,,Europe,Central Europe,GER,43.0,W,True,185.0,37865.0,32M/32Q/16D,Porsche Tennis Grand Prix,,90,4,22.5,9,2.25,Ekaterina Makarova,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/rus.svg,R16,W,"7-5, 6-1",https://www.wtatennis.com/players/311604/ekaterina-makarova,False,False,False,False,False,False,False,2,True,19,13,6,1,RU,RUS,643,150,Europe,Eastern Europe,RUS,"7,5,None|6,1,None"
