id,title,logo,url,level,surface,level_logo,start_date,end_date,year,month,city,country,state,tour_code_alpha_2,tour_code_alpha_3,tour_country_code_m49,tour_region_code,alternative_name,tour_region,tour_subregion,tour_fifa,rank,points_gain,prize_money,draw,custom_title,alt_titles,tour_total_games,tour_total_matches,tour_avg_games,tour_sets_played,tour_avg_sets_played,name,seed,flag,round,win_loss,score,url_profile,retired,walkover,bye,first_set_tiebreak,second_set_tiebreak,third_set_tiebreak,has_tiebreak,number_of_sets,first_set_won,total_games,winner_games,loser_games,win_loss_numeric,code_alpha_2,code_alpha_3,country_code_m49,region_code,region,subregion,fifa,splitted_score,entry_type,wild_card_entry
5,Roland Garros,https://photoresources.wtatennis.com/photo-resources/2026/04/16/0893d8be-5450-4e36-a144-cdd958c1b484/WTA-Tournament_Roland-Garros.png?height=128,https://www.wtatennis.com/tournaments/903/roland-garros/2020,Grand Slam,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2020-09-27,2020-10-10,2020,9,Paris,CAN,,FR,FRA,250,150,,Europe,Western Europe,FRA,168.0,2000.0,1768468.0,128M/128Q/64D,Roland Garros,,112,7,16.0,14,2.0,Eugenie Bouchard,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/can.svg,R32,W,"6-3, 6-2",https://www.wtatennis.com/players/316161/eugenie-bouchard,False,False,False,False,False,False,False,2,True,17,12,5,1,CA,CAN,124,019,America,Northern America,CAN,"6,3,None|6,2,None",,
6,Roland Garros,https://photoresources.wtatennis.com/photo-resources/2026/04/16/0893d8be-5450-4e36-a144-cdd958c1b484/WTA-Tournament_Roland-Garros.png?height=128,https://www.wtatennis.com/tournaments/903/roland-garros/2020,Grand Slam,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2020-09-27,2020-10-10,2020,9,Paris,TPE,,FR,FRA,250,150,,Europe,Western Europe,FRA,63.0,2000.0,1768468.0,128M/128Q/64D,Roland Garros,,112,7,16.0,14,2.0,Su-Wei Hsieh,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/tpe.svg,R64,W,"6-1, 6-4",https://www.wtatennis.com/players/310053/su-wei-hsieh,False,False,False,False,False,False,False,2,True,17,12,5,1,,,,,,,TPE,"6,1,None|6,4,None",,
7,Roland Garros,https://photoresources.wtatennis.com/photo-resources/2026/04/16/0893d8be-5450-4e36-a144-cdd958c1b484/WTA-Tournament_Roland-Garros.png?height=128,https://www.wtatennis.com/tournaments/903/roland-garros/2020,Grand Slam,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2020-09-27,2020-10-10,2020,9,Paris,CZE,,FR,FRA,250,150,,Europe,Western Europe,FRA,19.0,2000.0,1768468.0,128M/128Q/64D,Roland Garros,,112,7,16.0,14,2.0,Marketa Vondrousova,15.0,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/cze.svg,R128,W,"6-1, 6-2",https://www.wtatennis.com/players/323027/marketa-vondrousova,False,False,False,False,False,False,False,2,True,15,12,3,1,CZ,CZE,203,150,Europe,Central Europe,CZE,"6,1,None|6,2,None",,
1,Internazionali Bnl D'Italia,https://photoresources.wtatennis.com/photo-resources/2026/04/16/2c058ad8-b3d8-49a9-a863-85d7b87a6783/WTA-Tournament_Rome-2018.png?height=128,https://www.wtatennis.com/tournaments/709/rome/2020,Premier 5,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2020-09-14,2020-09-21,2020,9,Rome,NED,,IT,ITA,380,150,,Europe,Southern Europe,ITA,71.0,1.0,11160.0,64M/32Q/32D,Internazionali Bnl D'Italia,,22,1,22.0,2,2.0,Arantxa Rus,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/ned.svg,R64,L,"6-7 (5), 3-6",https://www.wtatennis.com/players/313349/arantxa-rus,False,False,False,True,False,False,True,2,False,22,9,13,0,NL,NLD,528,150,Europe,Western Europe,NED,"6,7,5|3,6,None",,
1,Us Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/8d0a3d41-7b45-434b-a75b-b7d2eb0922b4/WTA-Tournament_US-Open.png?height=128,https://www.wtatennis.com/tournaments/905/us-open/2020,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2020-08-31,2020-09-13,2020,8,New York,BLR,NY,US,USA,840,019,,America,Northern America,USA,27.0,130.0,163000.0,128M/0Q/32D,Us Open,,68,3,22.666666666666668,7,2.3333333333333335,Victoria Azarenka,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/blr.svg,R32,L,"4-6, 2-6",https://www.wtatennis.com/players/312001/victoria-azarenka,False,False,False,False,False,False,False,2,False,18,6,12,0,BY,BLR,112,150,Europe,Eastern Europe,BLR,"4,6,None|2,6,None",,
2,Us Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/8d0a3d41-7b45-434b-a75b-b7d2eb0922b4/WTA-Tournament_US-Open.png?height=128,https://www.wtatennis.com/tournaments/905/us-open/2020,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2020-08-31,2020-09-13,2020,8,New York,USA,NY,US,USA,840,019,United States of America|America|USA|US,America,Northern America,USA,160.0,130.0,163000.0,128M/0Q/32D,Us Open,,68,3,22.666666666666668,7,2.3333333333333335,Sachia Vickery,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/usa.svg,R64,W,"6-7 (5), 6-3, 6-4",https://www.wtatennis.com/players/317443/sachia-vickery,False,False,False,True,False,False,True,3,False,32,18,14,1,US,USA,840,019,America,Northern America,USA,"6,7,5|6,3,None|6,4,None",,
3,Us Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/8d0a3d41-7b45-434b-a75b-b7d2eb0922b4/WTA-Tournament_US-Open.png?height=128,https://www.wtatennis.com/tournaments/905/us-open/2020,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2020-08-31,2020-09-13,2020,8,New York,RUS,NY,US,USA,840,019,,America,Northern America,USA,42.0,130.0,163000.0,128M/0Q/32D,Us Open,,68,3,22.666666666666668,7,2.3333333333333335,Veronika Kudermetova,29.0,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/rus.svg,R128,W,"6-3, 6-3",https://www.wtatennis.com/players/319526/veronika-kudermetova,False,False,False,False,False,False,False,2,True,18,12,6,1,RU,RUS,643,150,Europe,Eastern Europe,RUS,"6,3,None|6,3,None",,
1,Western & Southern Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/77288aaf-4c7f-4b8e-86f6-315c2ef872c5/WTA-Tournament_Cincinnati-2024.png?height=128,https://www.wtatennis.com/tournaments/1017/cincinnati/2020,Premier 5,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2020-08-21,2020-08-29,2020,8,New York,USA,NY,US,USA,840,019,United States of America|America|USA|US,America,Northern America,USA,90.0,1.0,11000.0,64M/64Q/32D,Western & Southern Open,,18,1,18.0,2,2.0,Christina Mchale,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/usa.svg,R64,L,"2-6, 4-6",https://www.wtatennis.com/players/314917/christina-mchale,False,False,False,False,False,False,False,2,False,18,6,12,0,US,USA,840,019,America,Northern America,USA,"2,6,None|4,6,None",,
1,Qatar Total Open 2020,https://photoresources.wtatennis.com/photo-resources/2026/04/16/c44d1d24-32ae-4ebe-b5e8-bd228bfb4fc8/1003_Doha_2026.png?height=128,https://www.wtatennis.com/tournaments/1003/doha/2020,Premier 5,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2020-02-23,2020-02-29,2020,2,Doha,RUS,,QA,QAT,634,142,,Asia,Western Asia,QAT,46.0,60.0,17800.0,64M/32Q/32D,Qatar Total Open 2020,,38,2,19.0,4,2.0,Svetlana Kuznetsova,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/rus.svg,R32,L,"2-6, 2-6",https://www.wtatennis.com/players/110552/svetlana-kuznetsova,False,False,False,False,False,False,False,2,False,16,4,12,0,RU,RUS,643,150,Europe,Eastern Europe,RUS,"2,6,None|2,6,None",,
2,Qatar Total Open 2020,https://photoresources.wtatennis.com/photo-resources/2026/04/16/c44d1d24-32ae-4ebe-b5e8-bd228bfb4fc8/1003_Doha_2026.png?height=128,https://www.wtatennis.com/tournaments/1003/doha/2020,Premier 5,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2020-02-23,2020-02-29,2020,2,Doha,CRO,,QA,QAT,634,142,,Asia,Western Asia,QAT,24.0,60.0,17800.0,64M/32Q/32D,Qatar Total Open 2020,,38,2,19.0,4,2.0,Donna Vekic,17.0,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/cro.svg,R64,W,"6-4, 7-5",https://www.wtatennis.com/players/318516/donna-vekic,False,False,False,False,False,False,False,2,True,22,13,9,1,HR,HRV,191,150,Europe,Southeastern Europe,CRO,"6,4,None|7,5,None",,
