id,title,logo,url,level,surface,level_logo,start_date,end_date,year,month,city,country,state,tour_code_alpha_2,tour_code_alpha_3,tour_country_code_m49,tour_region_code,alternative_name,tour_region,tour_subregion,tour_fifa,rank,points_gain,prize_money,draw,name,seed,flag,round,win_loss,score,url_profile,retired,walkover,bye,first_set_tiebreak,second_set_tiebreak,third_set_tiebreak,has_tiebreak,number_of_sets,first_set_won,total_games,winner_games,loser_games,code_alpha_2,code_alpha_3,country_code_m49,region_code,region,subregion,fifa,splitted_score,entry_type
2,Porsche Tennis Grand Prix,https://photoresources.wtatennis.com/photo-resources/2026/04/16/853dd66d-3c70-40ab-9215-4a22158de24a/WTA-Tournament_Stuttgart-2017.png?height=128,https://www.wtatennis.com/tournaments/1051/stuttgart/2026,WTA 500,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/500k-tag.svg,2026-04-13,2026-04-19,2026,4,Stuttgart,RUS,,DE,DEU,276,150,,Europe,Central Europe,GER,9.0,500.0,185500.0,32M/16Q/16D,Mirra Andreeva,6.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/rus.svg,Semifinals,W,"7-5, 6-1",https://www.wtatennis.com/players/331809/mirra-andreeva,False,False,False,False,False,False,False,2,True,19,13,6,RU,RUS,643,150,Europe,Eastern Europe,RUS,"7,5,None|6,1,None",
3,Porsche Tennis Grand Prix,https://photoresources.wtatennis.com/photo-resources/2026/04/16/853dd66d-3c70-40ab-9215-4a22158de24a/WTA-Tournament_Stuttgart-2017.png?height=128,https://www.wtatennis.com/tournaments/1051/stuttgart/2026,WTA 500,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/500k-tag.svg,2026-04-13,2026-04-19,2026,4,Stuttgart,CAN,,DE,DEU,276,150,,Europe,Central Europe,GER,25.0,500.0,185500.0,32M/16Q/16D,Leylah Fernandez,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/can.svg,Quarterfinals,W,"6-7 (5), 6-4, 7-6 (6)",https://www.wtatennis.com/players/326735/leylah-fernandez,False,False,False,True,False,True,True,3,False,36,19,17,CA,CAN,124,019,America,Northern America,CAN,"6,7,5|6,4,None|7,6,6",
4,Porsche Tennis Grand Prix,https://photoresources.wtatennis.com/photo-resources/2026/04/16/853dd66d-3c70-40ab-9215-4a22158de24a/WTA-Tournament_Stuttgart-2017.png?height=128,https://www.wtatennis.com/tournaments/1051/stuttgart/2026,WTA 500,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/500k-tag.svg,2026-04-13,2026-04-19,2026,4,Stuttgart,RUS,,DE,DEU,276,150,,Europe,Central Europe,GER,19.0,500.0,185500.0,32M/16Q/16D,Diana Shnaider,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/rus.svg,Round of 16,W,"6-3, 6-4",https://www.wtatennis.com/players/330482/diana-shnaider,False,False,False,False,False,False,False,2,True,19,12,7,RU,RUS,643,150,Europe,Eastern Europe,RUS,"6,3,None|6,4,None",
5,Porsche Tennis Grand Prix,https://photoresources.wtatennis.com/photo-resources/2026/04/16/853dd66d-3c70-40ab-9215-4a22158de24a/WTA-Tournament_Stuttgart-2017.png?height=128,https://www.wtatennis.com/tournaments/1051/stuttgart/2026,WTA 500,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/500k-tag.svg,2026-04-13,2026-04-19,2026,4,Stuttgart,,,DE,DEU,276,150,,Europe,Central Europe,GER,,500.0,185500.0,32M/16Q/16D,,,,Round of 32,,Bye,,False,False,True,False,False,False,False,0,False,0,0,0,,,,,,,,,
1,Miami Open presented by Itaú,https://photoresources.wtatennis.com/photo-resources/2026/04/16/e0f2d5a2-cc05-4b2a-8377-f57edf6eaaa2/WTA-Tournament_Miami-2024.png?height=128,https://www.wtatennis.com/tournaments/miami-open,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-03-17,2026-03-29,2026,3,Miami,BLR,FL,US,USA,840,019,,America,Northern America,USA,1.0,390.0,340190.0,128M/48Q/32D,Aryna Sabalenka,1.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/blr.svg,Semifinals,L,"4-6, 3-6",https://www.wtatennis.com/players/320760/aryna-sabalenka,False,False,False,False,False,False,False,2,False,19,7,12,BY,BLR,112,150,Europe,Eastern Europe,BLR,"4,6,None|3,6,None",
2,Miami Open presented by Itaú,https://photoresources.wtatennis.com/photo-resources/2026/04/16/e0f2d5a2-cc05-4b2a-8377-f57edf6eaaa2/WTA-Tournament_Miami-2024.png?height=128,https://www.wtatennis.com/tournaments/miami-open,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-03-17,2026-03-29,2026,3,Miami,USA,FL,US,USA,840,019,United States of America|America|USA|US,America,Northern America,USA,5.0,390.0,340190.0,128M/48Q/32D,Jessica Pegula,5.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/usa.svg,Quarterfinals,W,"2-6, 6-3, 6-4",https://www.wtatennis.com/players/316956/jessica-pegula,False,False,False,False,False,False,False,3,False,27,14,13,US,USA,840,019,America,Northern America,USA,"2,6,None|6,3,None|6,4,None",
3,Miami Open presented by Itaú,https://photoresources.wtatennis.com/photo-resources/2026/04/16/e0f2d5a2-cc05-4b2a-8377-f57edf6eaaa2/WTA-Tournament_Miami-2024.png?height=128,https://www.wtatennis.com/tournaments/miami-open,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-03-17,2026-03-29,2026,3,Miami,AUS,FL,US,USA,840,019,,America,Northern America,USA,68.0,390.0,340190.0,128M/48Q/32D,Talia Gibson,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/aus.svg,Round of 16,W,"6-2, 6-2",https://www.wtatennis.com/players/329393/talia-gibson,False,False,False,False,False,False,False,2,True,16,12,4,AU,AUS,036,009,Oceania,Australasia,AUS,"6,2,None|6,2,None",
4,Miami Open presented by Itaú,https://photoresources.wtatennis.com/photo-resources/2026/04/16/e0f2d5a2-cc05-4b2a-8377-f57edf6eaaa2/WTA-Tournament_Miami-2024.png?height=128,https://www.wtatennis.com/tournaments/miami-open,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-03-17,2026-03-29,2026,3,Miami,UKR,FL,US,USA,840,019,,America,Northern America,USA,28.0,390.0,340190.0,128M/48Q/32D,Marta Kostyuk,27.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/ukr.svg,Round of 32,W,"6-3, 6-4",https://www.wtatennis.com/players/326482/marta-kostyuk,False,False,False,False,False,False,False,2,True,19,12,7,UA,UKR,804,150,Europe,Eastern Europe,UKR,"6,3,None|6,4,None",
5,Miami Open presented by Itaú,https://photoresources.wtatennis.com/photo-resources/2026/04/16/e0f2d5a2-cc05-4b2a-8377-f57edf6eaaa2/WTA-Tournament_Miami-2024.png?height=128,https://www.wtatennis.com/tournaments/miami-open,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-03-17,2026-03-29,2026,3,Miami,KAZ,FL,US,USA,840,019,,America,Northern America,USA,75.0,390.0,340190.0,128M/48Q/32D,Yulia Putintseva,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/kaz.svg,Round of 64,W,"6-3, 6-3",https://www.wtatennis.com/players/317683/yulia-putintseva,False,False,False,False,False,False,False,2,True,18,12,6,KZ,KAZ,398,142,Asia,Central Asia,KAZ,"6,3,None|6,3,None",
6,Miami Open presented by Itaú,https://photoresources.wtatennis.com/photo-resources/2026/04/16/e0f2d5a2-cc05-4b2a-8377-f57edf6eaaa2/WTA-Tournament_Miami-2024.png?height=128,https://www.wtatennis.com/tournaments/miami-open,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-03-17,2026-03-29,2026,3,Miami,,FL,US,USA,840,019,,America,Northern America,USA,,390.0,340190.0,128M/48Q/32D,,,,Round of 128,,Bye,,False,False,True,False,False,False,False,0,False,0,0,0,,,,,,,,,
