id,title,logo,url,level,surface,level_logo,start_date,end_date,year,month,city,country,state,tour_code_alpha_2,tour_code_alpha_3,tour_country_code_m49,tour_region_code,alternative_name,tour_region,tour_subregion,tour_fifa,rank,points_gain,prize_money,draw,name,seed,flag,round,win_loss,score,url_profile,retired,walkover,bye,first_set_tiebreak,second_set_tiebreak,third_set_tiebreak,has_tiebreak,number_of_sets,first_set_won,total_games,winner_games,loser_games,code_alpha_2,code_alpha_3,country_code_m49,region_code,region,subregion,fifa,splitted_score,entry_type
2,Porsche Tennis Grand Prix,https://photoresources.wtatennis.com/photo-resources/2026/04/16/853dd66d-3c70-40ab-9215-4a22158de24a/WTA-Tournament_Stuttgart-2017.png?height=128,https://www.wtatennis.com/tournaments/1051/stuttgart/2026,WTA 500,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/500k-tag.svg,2026-04-13,2026-04-19,2026,4,Stuttgart,GER,,DE,DEU,276,150,[],Europe,Central Europe,GER,51.0,108.0,35000.0,32M/16Q/16D,Laura Siegemund,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/ger.svg,Round of 16,W,"6-2, 6-3",https://www.wtatennis.com/players/310926/laura-siegemund,False,False,False,False,False,False,False,2,True,17,12,5,DE,DEU,276,150,Europe,Central Europe,GER,"6,2,None|6,3,None",
3,Porsche Tennis Grand Prix,https://photoresources.wtatennis.com/photo-resources/2026/04/16/853dd66d-3c70-40ab-9215-4a22158de24a/WTA-Tournament_Stuttgart-2017.png?height=128,https://www.wtatennis.com/tournaments/1051/stuttgart/2026,WTA 500,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/500k-tag.svg,2026-04-13,2026-04-19,2026,4,Stuttgart,,,DE,DEU,276,150,[],Europe,Central Europe,GER,,108.0,35000.0,32M/16Q/16D,,,,Round of 32,,Bye,,False,False,True,False,False,False,False,0,False,0,0,0,,,,,,,,,
1,Miami Open presented by Itaú,https://photoresources.wtatennis.com/photo-resources/2026/04/16/e0f2d5a2-cc05-4b2a-8377-f57edf6eaaa2/WTA-Tournament_Miami-2024.png?height=128,https://www.wtatennis.com/tournaments/miami-open,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2026-03-17,2026-03-29,2026,3,,POL,,,,,,[],,,United States of America,50.0,10.0,36110.0,128M/48Q/32D,Magda Linette,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/pol.svg,Round of 64,L,"6-1, 5-7, 3-6",https://www.wtatennis.com/players/315130/magda-linette,False,False,False,False,False,False,False,3,True,28,14,14,PL,POL,616,150,Europe,Central Europe,POL,"6,1,None|5,7,None|3,6,None",
2,Miami Open presented by Itaú,https://photoresources.wtatennis.com/photo-resources/2026/04/16/e0f2d5a2-cc05-4b2a-8377-f57edf6eaaa2/WTA-Tournament_Miami-2024.png?height=128,https://www.wtatennis.com/tournaments/miami-open,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2026-03-17,2026-03-29,2026,3,,,,,,,,[],,,United States of America,,10.0,36110.0,128M/48Q/32D,,,,Round of 128,,Bye,,False,False,True,False,False,False,False,0,False,0,0,0,,,,,,,,,
1,BNP Paribas Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/a1736320-dd92-4829-8aa8-846c2edef410/WTA-Tournament_Indian-Wells-2017.png?height=128,https://www.wtatennis.com/tournaments/indian-wells,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2026-03-04,2026-03-15,2026,3,,UKR,,,,,,[],,,United States of America,9.0,215.0,154210.0,128M/48Q/32D,Elina Svitolina,9.0,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/ukr.svg,Quarterfinals,L,"2-6, 6-4, 4-6",https://www.wtatennis.com/players/316738/elina-svitolina,False,False,False,False,False,False,False,3,False,28,12,16,UA,UKR,804,150,Europe,Eastern Europe,UKR,"2,6,None|6,4,None|4,6,None",
2,BNP Paribas Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/a1736320-dd92-4829-8aa8-846c2edef410/WTA-Tournament_Indian-Wells-2017.png?height=128,https://www.wtatennis.com/tournaments/indian-wells,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2026-03-04,2026-03-15,2026,3,,CZE,,,,,,[],,,United States of America,13.0,215.0,154210.0,128M/48Q/32D,Karolina Muchova,13.0,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/cze.svg,Round of 16,W,"6-2, 6-0",https://www.wtatennis.com/players/322191/karolina-muchova,False,False,False,False,False,False,False,2,True,14,12,2,CZ,CZE,203,150,Europe,Central Europe,CZE,"6,2,None|6,0,None",
3,BNP Paribas Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/a1736320-dd92-4829-8aa8-846c2edef410/WTA-Tournament_Indian-Wells-2017.png?height=128,https://www.wtatennis.com/tournaments/indian-wells,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2026-03-04,2026-03-15,2026,3,,GRE,,,,,,[],,,United States of America,34.0,215.0,154210.0,128M/48Q/32D,Maria Sakkari,32.0,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/gre.svg,Round of 32,W,"6-3, 6-2",https://www.wtatennis.com/players/318312/maria-sakkari,False,False,False,False,False,False,False,2,True,17,12,5,GR,GRC,300,150,Europe,Southeastern Europe,GRE,"6,3,None|6,2,None",
4,BNP Paribas Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/a1736320-dd92-4829-8aa8-846c2edef410/WTA-Tournament_Indian-Wells-2017.png?height=128,https://www.wtatennis.com/tournaments/indian-wells,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2026-03-04,2026-03-15,2026,3,,USA,,,,,,"['America', 'USA', 'US']",,,United States of America,187.0,215.0,154210.0,128M/48Q/32D,Kayla Day,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/usa.svg,Round of 64,W,"6-0, 7-6 (2)",https://www.wtatennis.com/players/322534/kayla-day,False,False,False,False,True,False,True,2,True,19,13,6,US,USA,840,019,America,Northern America,USA,"6,0,None|7,6,2",
5,BNP Paribas Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/a1736320-dd92-4829-8aa8-846c2edef410/WTA-Tournament_Indian-Wells-2017.png?height=128,https://www.wtatennis.com/tournaments/indian-wells,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2026-03-04,2026-03-15,2026,3,,,,,,,,[],,,United States of America,,215.0,154210.0,128M/48Q/32D,,,,Round of 128,,Bye,,False,False,True,False,False,False,False,0,False,0,0,0,,,,,,,,,
1,Qatar TotalEnergies Open 2026,https://photoresources.wtatennis.com/photo-resources/2026/04/16/c44d1d24-32ae-4ebe-b5e8-bd228bfb4fc8/1003_Doha_2026.png?height=128,https://www.wtatennis.com/tournaments/doha,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2026-02-08,2026-02-14,2026,2,Doha,GRE,,QA,QAT,634,142,[],Asia,Western Asia,QAT,52.0,215.0,98500.0,64M/32Q/32D,Maria Sakkari,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/gre.svg,Quarterfinals,L,"6-2, 4-6, 5-7",https://www.wtatennis.com/players/318312/maria-sakkari,False,False,False,False,False,False,False,3,True,30,15,15,GR,GRC,300,150,Europe,Southeastern Europe,GRE,"6,2,None|4,6,None|5,7,None",
