id,title,logo,url,level,surface,level_logo,start_date,end_date,year,month,city,country,state,tour_code_alpha_2,tour_code_alpha_3,tour_country_code_m49,tour_region_code,alternative_name,tour_region,tour_subregion,tour_fifa,rank,points_gain,prize_money,draw,custom_title,alt_titles,tour_total_games,tour_total_matches,tour_avg_games,tour_sets_played,tour_avg_sets_played,name,seed,flag,round,win_loss,score,url_profile,retired,walkover,bye,first_set_tiebreak,second_set_tiebreak,third_set_tiebreak,has_tiebreak,number_of_sets,first_set_won,total_games,winner_games,loser_games,win_loss_numeric,code_alpha_2,code_alpha_3,country_code_m49,region_code,region,subregion,fifa,splitted_score,entry_type,wild_card_entry
3,Roland Garros,,https://www.wtatennis.com/tournaments/903/roland-garros/2021,Grand Slam,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2021-05-30,2021-06-12,2021,5,Paris,ROU,,FR,FRA,250,150,,Europe,Western Europe,FRA,174.0,240.0,200608.0,128M/128Q/64D,Roland Garros,,90,4,22.5,9,2.25,Mihaela Buzarnescu,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/rou.svg,R64,W,"6-3, 5-7, 6-1",https://www.wtatennis.com/players/312268/mihaela-buzarnescu,False,False,False,False,False,False,False,3,True,28,17,11,1,RO,ROU,642,150,Europe,Southeastern Europe,ROU,"6,3,None|5,7,None|6,1,None",,
4,Roland Garros,,https://www.wtatennis.com/tournaments/903/roland-garros/2021,Grand Slam,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2021-05-30,2021-06-12,2021,5,Paris,ROU,,FR,FRA,250,150,,Europe,Western Europe,FRA,74.0,240.0,200608.0,128M/128Q/64D,Roland Garros,,90,4,22.5,9,2.25,Irina-Camelia Begu,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/rou.svg,R128,W,"7-6 (6), 6-2",https://www.wtatennis.com/players/313169/irina-camelia-begu,False,False,False,True,False,False,True,2,True,21,13,8,1,RO,ROU,642,150,Europe,Southeastern Europe,ROU,"7,6,6|6,2,None",,
1,Emilia-Romagna Open,,https://www.wtatennis.com/tournaments/2041/parma-125/2021,WTA 250,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/250k-tag.svg,2021-05-16,2021-05-22,2021,5,Parma,CZE,,IT,ITA,380,150,,Europe,Southern Europe,ITA,68.0,30.0,3675.0,32M/32Q/16D,Emilia-Romagna Open,,38,2,19.0,4,2.0,Katerina Siniakova,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/cze.svg,R16,L,"6-7 (4), 2-6",https://www.wtatennis.com/players/320301/katerina-siniakova,False,False,False,True,False,False,True,2,False,21,8,13,0,CZ,CZE,203,150,Europe,Central Europe,CZE,"6,7,4|2,6,None",W,True
2,Emilia-Romagna Open,,https://www.wtatennis.com/tournaments/2041/parma-125/2021,WTA 250,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/250k-tag.svg,2021-05-16,2021-05-22,2021,5,Parma,ITA,,IT,ITA,380,150,,Europe,Southern Europe,ITA,572.0,30.0,3675.0,32M/32Q/16D,Emilia-Romagna Open,,38,2,19.0,4,2.0,Lisa Pigato,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/ita.svg,R32,W,"6-3, 6-2",https://www.wtatennis.com/players/328193/lisa-pigato,False,False,False,False,False,False,False,2,True,17,12,5,1,IT,ITA,380,150,Europe,Southern Europe,ITA,"6,3,None|6,2,None",W,True
1,Internazionali Bnl D'Italia,,https://www.wtatennis.com/tournaments/709/rome/2021,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2021-05-10,2021-05-16,2021,5,Rome,ARG,,IT,ITA,380,150,,Europe,Southern Europe,ITA,44.0,1.0,13300.0,64M/32Q/32D,Internazionali Bnl D'Italia,,25,1,25.0,2,2.0,Nadia Podoroska,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/arg.svg,R32,L,"6-7 (6), 5-7",https://www.wtatennis.com/players/319112/nadia-podoroska,False,False,False,True,False,False,True,2,False,25,11,14,0,AR,ARG,032,019,America,Southern South America,ARG,"6,7,6|5,7,None",,
2,Internazionali Bnl D'Italia,,https://www.wtatennis.com/tournaments/709/rome/2021,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2021-05-10,2021-05-16,2021,5,Rome,,,IT,ITA,380,150,,Europe,Southern Europe,ITA,,1.0,13300.0,64M/32Q/32D,Internazionali Bnl D'Italia,,25,1,25.0,2,2.0,,,,R64,,Bye,,False,False,True,False,False,False,False,0,False,0,0,0,0,,,,,,,,,,
1,Australian Open,,https://www.wtatennis.com/tournaments/901/australian-open/2021,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2021-02-08,2021-02-20,2021,2,Melbourne,JPN,,AU,AUS,036,009,,Oceania,Australasia,AUS,3.0,780.0,582694.0,128M/128Q/64D,Australian Open,,115,6,19.166666666666668,13,2.1666666666666665,Naomi Osaka,3.0,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/jpn.svg,SF,L,"3-6, 4-6",https://www.wtatennis.com/players/319998/naomi-osaka,False,False,False,False,False,False,False,2,False,19,7,12,0,JP,JPN,392,142,Asia,East Asia,JPN,"3,6,None|4,6,None",,
2,Australian Open,,https://www.wtatennis.com/tournaments/901/australian-open/2021,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2021-02-08,2021-02-20,2021,2,Melbourne,ROU,,AU,AUS,036,009,,Oceania,Australasia,AUS,2.0,780.0,582694.0,128M/128Q/64D,Australian Open,,115,6,19.166666666666668,13,2.1666666666666665,Simona Halep,2.0,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/rou.svg,QF,W,"6-3, 6-3",https://www.wtatennis.com/players/314320/simona-halep,False,False,False,False,False,False,False,2,True,18,12,6,1,RO,ROU,642,150,Europe,Southeastern Europe,ROU,"6,3,None|6,3,None",,
3,Australian Open,,https://www.wtatennis.com/tournaments/901/australian-open/2021,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2021-02-08,2021-02-20,2021,2,Melbourne,BLR,,AU,AUS,036,009,,Oceania,Australasia,AUS,7.0,780.0,582694.0,128M/128Q/64D,Australian Open,,115,6,19.166666666666668,13,2.1666666666666665,Aryna Sabalenka,7.0,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/blr.svg,R16,W,"6-4, 2-6, 6-4",https://www.wtatennis.com/players/320760/aryna-sabalenka,False,False,False,False,False,False,False,3,True,28,14,14,1,BY,BLR,112,150,Europe,Eastern Europe,BLR,"6,4,None|2,6,None|6,4,None",,
4,Australian Open,,https://www.wtatennis.com/tournaments/901/australian-open/2021,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2021-02-08,2021-02-20,2021,2,Melbourne,AUT,,AU,AUS,036,009,,Oceania,Australasia,AUS,101.0,780.0,582694.0,128M/128Q/64D,Australian Open,,115,6,19.166666666666668,13,2.1666666666666665,Anastasia Potapova,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/aut.svg,R32,W,"7-6 (5), 6-2",https://www.wtatennis.com/players/325601/anastasia-potapova,False,False,False,True,False,False,True,2,True,21,13,8,1,AT,AUT,040,150,Europe,Central Europe,AUT,"7,6,5|6,2,None",,
5,Australian Open,,https://www.wtatennis.com/tournaments/901/australian-open/2021,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2021-02-08,2021-02-20,2021,2,Melbourne,SRB,,AU,AUS,036,009,,Oceania,Australasia,AUS,99.0,780.0,582694.0,128M/128Q/64D,Australian Open,,115,6,19.166666666666668,13,2.1666666666666665,Nina Stojanovic,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/srb.svg,R64,W,"6-3, 6-0",https://www.wtatennis.com/players/319709/nina-stojanovic,False,False,False,False,False,False,False,2,True,15,12,3,1,RS,SRB,688,150,Europe,Southeastern Europe,SRB,"6,3,None|6,0,None",,
6,Australian Open,,https://www.wtatennis.com/tournaments/901/australian-open/2021,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2021-02-08,2021-02-20,2021,2,Melbourne,GER,,AU,AUS,036,009,,Oceania,Australasia,AUS,49.0,780.0,582694.0,128M/128Q/64D,Australian Open,,115,6,19.166666666666668,13,2.1666666666666665,Laura Siegemund,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/ger.svg,R128,W,"6-1, 6-1",https://www.wtatennis.com/players/310926/laura-siegemund,False,False,False,False,False,False,False,2,True,14,12,2,1,DE,DEU,276,150,Europe,Central Europe,GER,"6,1,None|6,1,None",,
1,Yarra Valley Classic,,https://www.wtatennis.com/tournaments/2026/melbourne-500-yarra-valley/2021,WTA 500,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/500k-tag.svg,2021-01-31,2021-02-06,2021,1,Melbourne,AUS,,AU,AUS,036,009,,Oceania,Australasia,AUS,1.0,185.0,18610.0,64M/0Q/28D,Yarra Valley Classic,,68,3,22.666666666666668,7,2.3333333333333335,Ashleigh Barty,1.0,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/aus.svg,SF,L,Walkover,https://www.wtatennis.com/players/318033/ashleigh-barty,False,True,False,False,False,False,False,0,False,0,0,0,0,AU,AUS,036,009,Oceania,Australasia,AUS,,,
2,Yarra Valley Classic,,https://www.wtatennis.com/tournaments/2026/melbourne-500-yarra-valley/2021,WTA 500,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/500k-tag.svg,2021-01-31,2021-02-06,2021,1,Melbourne,USA,,AU,AUS,036,009,United States of America|America|USA|US,Oceania,Australasia,AUS,46.0,185.0,18610.0,64M/0Q/28D,Yarra Valley Classic,,68,3,22.666666666666668,7,2.3333333333333335,Danielle Collins,13.0,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/usa.svg,QF,W,"6-2, 4-6, 10-6",https://www.wtatennis.com/players/316925/danielle-collins,False,False,False,False,False,False,False,3,True,34,20,14,1,US,USA,840,019,America,Northern America,USA,"6,2,None|4,6,None|10,6,None",,
3,Yarra Valley Classic,,https://www.wtatennis.com/tournaments/2026/melbourne-500-yarra-valley/2021,WTA 500,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/500k-tag.svg,2021-01-31,2021-02-06,2021,1,Melbourne,BUL,,AU,AUS,036,009,,Oceania,Australasia,AUS,137.0,185.0,18610.0,64M/0Q/28D,Yarra Valley Classic,,68,3,22.666666666666668,7,2.3333333333333335,Tsvetana Pironkova,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/bul.svg,R16,W,"6-1, 6-4",https://www.wtatennis.com/players/311041/tsvetana-pironkova,False,False,False,False,False,False,False,2,True,17,12,5,1,BG,BGR,100,150,Europe,Southeastern Europe,BUL,"6,1,None|6,4,None",,
4,Yarra Valley Classic,,https://www.wtatennis.com/tournaments/2026/melbourne-500-yarra-valley/2021,WTA 500,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/500k-tag.svg,2021-01-31,2021-02-06,2021,1,Melbourne,AUS,,AU,AUS,036,009,,Oceania,Australasia,AUS,452.0,185.0,18610.0,64M/0Q/28D,Yarra Valley Classic,,68,3,22.666666666666668,7,2.3333333333333335,Daria Saville,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/aus.svg,R32,W,"6-1, 6-4",https://www.wtatennis.com/players/315997/daria-saville,False,False,False,False,False,False,False,2,True,17,12,5,1,AU,AUS,036,009,Oceania,Australasia,AUS,"6,1,None|6,4,None",,
5,Yarra Valley Classic,,https://www.wtatennis.com/tournaments/2026/melbourne-500-yarra-valley/2021,WTA 500,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/500k-tag.svg,2021-01-31,2021-02-06,2021,1,Melbourne,,,AU,AUS,036,009,,Oceania,Australasia,AUS,,185.0,18610.0,64M/0Q/28D,Yarra Valley Classic,,68,3,22.666666666666668,7,2.3333333333333335,,,,R64,,Bye,,False,False,True,False,False,False,False,0,False,0,0,0,0,,,,,,,,,,
1,Roland Garros,,https://www.wtatennis.com/tournaments/903/roland-garros/2020,Grand Slam,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2020-09-27,2020-10-10,2020,9,Paris,BUL,,FR,FRA,250,150,,Europe,Western Europe,FRA,157.0,70.0,92845.0,128M/128Q/64D,Roland Garros,,19,1,19.0,2,2.0,Tsvetana Pironkova,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/bul.svg,R64,L,Walkover,https://www.wtatennis.com/players/311041/tsvetana-pironkova,False,True,False,False,False,False,False,0,False,0,0,0,0,BG,BGR,100,150,Europe,Southeastern Europe,BUL,,,
2,Roland Garros,,https://www.wtatennis.com/tournaments/903/roland-garros/2020,Grand Slam,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2020-09-27,2020-10-10,2020,9,Paris,USA,,FR,FRA,250,150,United States of America|America|USA|US,Europe,Western Europe,FRA,102.0,70.0,92845.0,128M/128Q/64D,Roland Garros,,19,1,19.0,2,2.0,Kristie Ahn,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/usa.svg,R128,W,"7-6 (2), 6-0",https://www.wtatennis.com/players/316159/kristie-ahn,False,False,False,True,False,False,True,2,True,19,13,6,1,US,USA,840,019,America,Northern America,USA,"7,6,2|6,0,None",,
1,Us Open,,https://www.wtatennis.com/tournaments/905/us-open/2020,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2020-08-31,2020-09-13,2020,8,New York,BLR,NY,US,USA,840,019,,America,Northern America,USA,27.0,780.0,800000.0,128M/0Q/32D,Us Open,,146,6,24.333333333333332,16,2.6666666666666665,Victoria Azarenka,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/blr.svg,SF,L,"6-1, 3-6, 3-6",https://www.wtatennis.com/players/312001/victoria-azarenka,False,False,False,False,False,False,False,3,True,25,12,13,0,BY,BLR,112,150,Europe,Eastern Europe,BLR,"6,1,None|3,6,None|3,6,None",,
2,Us Open,,https://www.wtatennis.com/tournaments/905/us-open/2020,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2020-08-31,2020-09-13,2020,8,New York,BUL,NY,US,USA,840,019,,America,Northern America,USA,,780.0,800000.0,128M/0Q/32D,Us Open,,146,6,24.333333333333332,16,2.6666666666666665,Tsvetana Pironkova,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/bul.svg,QF,W,"4-6, 6-3, 6-2",https://www.wtatennis.com/players/311041/tsvetana-pironkova,False,False,False,False,False,False,False,3,False,27,16,11,1,BG,BGR,100,150,Europe,Southeastern Europe,BUL,"4,6,None|6,3,None|6,2,None",,
3,Us Open,,https://www.wtatennis.com/tournaments/905/us-open/2020,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2020-08-31,2020-09-13,2020,8,New York,GRE,NY,US,USA,840,019,,America,Northern America,USA,22.0,780.0,800000.0,128M/0Q/32D,Us Open,,146,6,24.333333333333332,16,2.6666666666666665,Maria Sakkari,15.0,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/gre.svg,R16,W,"6-3, 6-7 (6), 6-3",https://www.wtatennis.com/players/318312/maria-sakkari,False,False,False,False,True,False,True,3,True,31,18,13,1,GR,GRC,300,150,Europe,Southeastern Europe,GRE,"6,3,None|6,7,6|6,3,None",,
