id,title,logo,url,level,surface,level_logo,start_date,end_date,year,month,city,country,state,tour_code_alpha_2,tour_code_alpha_3,tour_country_code_m49,tour_region_code,alternative_name,tour_region,tour_subregion,tour_fifa,rank,entry_type,points_gain,prize_money,draw,name,seed,flag,round,win_loss,score,url_profile,retired,walkover,bye,first_set_tiebreak,second_set_tiebreak,third_set_tiebreak,has_tiebreak,number_of_sets,first_set_won,total_games,winner_games,loser_games,code_alpha_2,code_alpha_3,country_code_m49,region_code,region,subregion,fifa,splitted_score
3,Western & Southern Open,,https://www.wtatennis.com/tournaments/1017/cincinnati/2016,Premier 5,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2016-08-15,2016-08-21,2016,8,Cincinnati,GER,OH,,,,,[],,,United States of America,101.0,Q,30.0,12205.0,64M/48Q/32D,Carina Witthoeft,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/ger.svg,Qualifying R1 Qual. R1,W,"6-4, 6-1",https://www.wtatennis.com/players/317536/carina-witthoeft,False,False,False,False,False,False,False,2,True,17,12,5,DE,DEU,276,150,Europe,Central Europe,GER,"6,4,None|6,1,None"
1,OLYMPICS TENNIS EVENT,,https://www.wtatennis.com/tournaments/650/olympics/2016,OLYMPICS,Hard,,2016-08-06,2016-08-14,2016,8,Rio De Janeiro,GER,,BR,BRA,076,019,[],America,Eastern South America,BRA,2.0,,,,64M/0Q/32D,Angelique Kerber,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/ger.svg,Round of 32,L,"4-6, 2-6",https://www.wtatennis.com/players/311470/angelique-kerber,False,False,False,False,False,False,False,2,False,18,6,12,DE,DEU,276,150,Europe,Central Europe,GER,"4,6,None|2,6,None"
2,OLYMPICS TENNIS EVENT,,https://www.wtatennis.com/tournaments/650/olympics/2016,OLYMPICS,Hard,,2016-08-06,2016-08-14,2016,8,Rio De Janeiro,USA,,BR,BRA,076,019,"['America', 'USA', 'US']",America,Eastern South America,BRA,28.0,,,,64M/0Q/32D,Sloane Stephens,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/usa.svg,Round of 64,W,"6-3, 6-3",https://www.wtatennis.com/players/315683/sloane-stephens,False,False,False,False,False,False,False,2,True,18,12,6,US,USA,840,019,America,Northern America,USA,"6,3,None|6,3,None"
1,Rogers Cup presented by National Bank,,https://www.wtatennis.com/tournaments/806/montreal/2016,Premier 5,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2016-07-25,2016-07-31,2016,7,Montreal,SVK,,CA,CAN,124,019,[],America,Northern America,CAN,121.0,,105.0,27790.0,64M/48Q/32D,Kristina Kucova,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/svk.svg,Round of 16,L,"6-3, 4-6, 3-6",https://www.wtatennis.com/players/312673/kristina-kucova,False,False,False,False,False,False,False,3,True,28,13,15,SK,SVK,703,150,Europe,Central Europe,SVK,"6,3,None|4,6,None|3,6,None"
2,Rogers Cup presented by National Bank,,https://www.wtatennis.com/tournaments/806/montreal/2016,Premier 5,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2016-07-25,2016-07-31,2016,7,Montreal,SVK,,CA,CAN,124,019,[],America,Northern America,CAN,10.0,,105.0,27790.0,64M/48Q/32D,Dominika Cibulkova,11.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/svk.svg,Round of 32,W,"6-2, 6-0",https://www.wtatennis.com/players/312894/dominika-cibulkova,False,False,False,False,False,False,False,2,True,14,12,2,SK,SVK,703,150,Europe,Central Europe,SVK,"6,2,None|6,0,None"
3,Rogers Cup presented by National Bank,,https://www.wtatennis.com/tournaments/806/montreal/2016,Premier 5,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2016-07-25,2016-07-31,2016,7,Montreal,CZE,,CA,CAN,124,019,[],America,Northern America,CAN,28.0,,105.0,27790.0,64M/48Q/32D,Lucie Safarova,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/cze.svg,Round of 64,W,"6-3, 3-6, 7-6 (3)",https://www.wtatennis.com/players/310553/lucie-safarova,False,False,False,False,False,True,True,3,True,31,16,15,CZ,CZE,203,150,Europe,Central Europe,CZE,"6,3,None|3,6,None|7,6,3"
1,Citi Open,,https://www.wtatennis.com/tournaments/1045/washington-dc/2016,International,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/250k-tag.svg,2016-07-18,2016-07-24,2016,7,Washington Dc,ITA,DC,,,,,[],,,United States of America,77.0,,1.0,2220.0,32M/16Q/16D,Camila Giorgi,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/ita.svg,Round of 32,L,"5-7, 4-6",https://www.wtatennis.com/players/314610/camila-giorgi,False,False,False,False,False,False,False,2,False,22,9,13,IT,ITA,380,150,Europe,Southern Europe,ITA,"5,7,None|4,6,None"
1,The Championships,,https://www.wtatennis.com/tournaments/904/wimbledon/2016,Grand Slam,Grass,https://www.wtatennis.com/resources/v7.42.0/i/elements/gs-tag.svg,2016-06-27,2016-07-10,2016,6,Wimbledon,SVK,,GB,GBR,826,150,[],Europe,Northern Europe,ENG,18.0,,130.0,122633.0,128M/96Q/64D,Dominika Cibulkova,19.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/svk.svg,Round of 32,L,"4-6, 3-6",https://www.wtatennis.com/players/312894/dominika-cibulkova,False,False,False,False,False,False,False,2,False,19,7,12,SK,SVK,703,150,Europe,Central Europe,SVK,"4,6,None|3,6,None"
2,The Championships,,https://www.wtatennis.com/tournaments/904/wimbledon/2016,Grand Slam,Grass,https://www.wtatennis.com/resources/v7.42.0/i/elements/gs-tag.svg,2016-06-27,2016-07-10,2016,6,Wimbledon,GBR,,GB,GBR,826,150,"['Britain', 'UK', 'Great Britain', 'United Kingdom']",Europe,Northern Europe,ENG,19.0,,130.0,122633.0,128M/96Q/64D,Johanna Konta,16.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/gbr.svg,Round of 64,W,"6-3, 1-6, 6-1",https://www.wtatennis.com/players/313907/johanna-konta,False,False,False,False,False,False,False,3,True,23,13,10,GB,GBR,826,150,Europe,Northern Europe,ENG,"6,3,None|1,6,None|6,1,None"
3,The Championships,,https://www.wtatennis.com/tournaments/904/wimbledon/2016,Grand Slam,Grass,https://www.wtatennis.com/resources/v7.42.0/i/elements/gs-tag.svg,2016-06-27,2016-07-10,2016,6,Wimbledon,SVK,,GB,GBR,826,150,[],Europe,Northern Europe,ENG,94.0,,130.0,122633.0,128M/96Q/64D,Magdalena Rybarikova,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/svk.svg,Round of 128,W,"6-3, 6-4",https://www.wtatennis.com/players/312580/magdalena-rybarikova,False,False,False,False,False,False,False,2,True,19,12,7,SK,SVK,703,150,Europe,Central Europe,SVK,"6,3,None|6,4,None"
1,Aegon International Eastbourne,,https://www.wtatennis.com/tournaments/710/eastbourne/2016,WTA 250,Grass,https://www.wtatennis.com/resources/v7.42.0/i/elements/250k-tag.svg,2016-06-19,2016-06-25,2016,6,Eastbourne,POL,,GB,GBR,826,150,[],Europe,Northern Europe,ENG,3.0,,55.0,9300.0,64M/32Q/16D,Agnieszka Radwanska,1.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/pol.svg,Round of 16,L,"3-6, 3-6",https://www.wtatennis.com/players/312251/agnieszka-radwanska,False,False,False,False,False,False,False,2,False,18,6,12,PL,POL,616,150,Europe,Central Europe,POL,"3,6,None|3,6,None"
2,Aegon International Eastbourne,,https://www.wtatennis.com/tournaments/710/eastbourne/2016,WTA 250,Grass,https://www.wtatennis.com/resources/v7.42.0/i/elements/250k-tag.svg,2016-06-19,2016-06-25,2016,6,Eastbourne,ROU,,GB,GBR,826,150,[],Europe,Northern Europe,ENG,27.0,,55.0,9300.0,64M/32Q/16D,Irina-Camelia Begu,15.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/rou.svg,Round of 32,W,"6-3, 6-1",https://www.wtatennis.com/players/313169/irina-camelia-begu,False,False,False,False,False,False,False,2,True,16,12,4,RO,ROU,642,150,Europe,Southeastern Europe,ROU,"6,3,None|6,1,None"
3,Aegon International Eastbourne,,https://www.wtatennis.com/tournaments/710/eastbourne/2016,WTA 250,Grass,https://www.wtatennis.com/resources/v7.42.0/i/elements/250k-tag.svg,2016-06-19,2016-06-25,2016,6,Eastbourne,USA,,GB,GBR,826,150,"['America', 'USA', 'US']",Europe,Northern Europe,ENG,64.0,,55.0,9300.0,64M/32Q/16D,Varvara Lepchenko,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/usa.svg,Round of 64,W,"6-1, 6-2",https://www.wtatennis.com/players/120420/varvara-lepchenko,False,False,False,False,False,False,False,2,True,15,12,3,US,USA,840,019,America,Northern America,USA,"6,1,None|6,2,None"
1,Mallorca Open,,https://www.wtatennis.com/tournaments/1091/mallorca/2016,International,Grass,https://www.wtatennis.com/resources/v7.42.0/i/elements/250k-tag.svg,2016-06-13,2016-06-19,2016,6,Mallorca,LAT,,ES,ESP,724,150,[],Europe,Southern Europe,ESP,82.0,,30.0,3310.0,32M/32Q/16D,Anastasija Sevastova,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/lat.svg,Round of 16,L,"3-6, 3-6",https://www.wtatennis.com/players/313987/anastasija-sevastova,False,False,False,False,False,False,False,2,False,18,6,12,,,,,,,LAT,"3,6,None|3,6,None"
2,Mallorca Open,,https://www.wtatennis.com/tournaments/1091/mallorca/2016,International,Grass,https://www.wtatennis.com/resources/v7.42.0/i/elements/250k-tag.svg,2016-06-13,2016-06-19,2016,6,Mallorca,MNE,,ES,ESP,724,150,[],Europe,Southern Europe,ESP,53.0,,30.0,3310.0,32M/32Q/16D,Danka Kovinic,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/mne.svg,Round of 32,W,"6-3, 7-5",https://www.wtatennis.com/players/317684/danka-kovinic,False,False,False,False,False,False,False,2,True,21,13,8,ME,MNE,499,150,Europe,Southeastern Europe,MNE,"6,3,None|7,5,None"
1,Ricoh Open,,https://www.wtatennis.com/tournaments/822/s-hertogenbosch/2016,International,Grass,https://www.wtatennis.com/resources/v7.42.0/i/elements/250k-tag.svg,2016-06-06,2016-06-12,2016,6,S-Hertogenbosch,BEL,,NL,NLD,528,150,[],Europe,Western Europe,NED,171.0,,1.0,2100.0,32M/32Q/16D,Elise Mertens,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/bel.svg,Round of 32,L,"2-6, 0-6",https://www.wtatennis.com/players/317964/elise-mertens,False,False,False,False,False,False,False,2,False,14,2,12,BE,BEL,056,150,Europe,Western Europe,BEL,"2,6,None|0,6,None"
1,Championnats Internationaux de France,,https://www.wtatennis.com/tournaments/903/roland-garros/2016,Grand Slam,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/gs-tag.svg,2016-05-22,2016-06-05,2016,5,Paris,SUI,,FR,FRA,250,150,[],Europe,Western Europe,FRA,9.0,,70.0,64628.0,128M/96Q/64D,Timea Bacsinszky,8.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/sui.svg,Round of 64,L,"4-6, 4-6",https://www.wtatennis.com/players/311579/timea-bacsinszky,False,False,False,False,False,False,False,2,False,20,8,12,CH,CHE,756,150,Europe,Central Europe,SUI,"4,6,None|4,6,None"
